name,type,star_rating,review_sum,address,time_info,contact
역전포장마차 홍대점,술집,4.64,955,서울 마포구 양화로 183 지하1층,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['일', '16:00 - 24:00'], ['월', '16:00 - 24:00'], ['화', '16:00 - 24:00'], ['수', '16:00 - 24:00'], ['목', '16:00 - 24:00'], ['금', '16:00 - 24:00'], ['토', '16:00 - 02:00']]",0507-1376-3340
딤,술집,정보 없음,578,서울 마포구 와우산로29길 48-5 2층,"[['영업 중', '22:30에 라스트오더', '22시 30분에 라스트오더'], ['일', '17:00 - 23:00', '22:30 라스트오더'], ['월', '19:30 - 24:00', '23:30 라스트오더'], ['화', '정기휴무 (매주 화요일)'], ['수', '19:30 - 24:00', '23:30 라스트오더'], ['목', '19:30 - 24:00', '23:30 라스트오더'], ['금', '19:30 - 24:00', '23:30 라스트오더'], ['토', '17:00 - 02:00', '01:30 라스트오더']]",010-4895-3005
배터리88 홍대점,요리주점,4.4,정보 없음,서울 마포구 와우산로19길 6 1층,"[['영업 중', '05:00에 영업 종료', '5시 0분에 영업 종료'], ['매일', '17:00 - 05:00']]",0507-1487-0883
발리 슈퍼스토어,요리주점,4.36,정보 없음,서울 마포구 양화로6길 45 2층,"[['영업 중', '23:30에 라스트오더', '23시 30분에 라스트오더'], ['일', '13:00 - 24:00', '23:30 라스트오더'], ['월', '17:00 - 02:00', '01:30 라스트오더'], ['화', '17:00 - 02:00', '01:30 라스트오더'], ['수', '17:00 - 02:00', '01:30 라스트오더'], ['목', '17:00 - 02:00', '01:30 라스트오더'], ['금', '17:00 - 02:00', '01:30 라스트오더'], ['토', '13:00 - 02:00', '01:30 라스트오더']]",02-323-7871
서교주담 합정,요리주점,4.75,941,서울 마포구 어울마당로5길 46 1층 서교주담 합정,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['일', '15:00 - 24:00'], ['월', '17:00 - 24:00'], ['화', '17:00 - 24:00'], ['수', '17:00 - 24:00'], ['목', '17:00 - 24:00'], ['금', '17:00 - 02:00'], ['토', '15:00 - 02:00']]",010-5656-9309
배터리88 2호점 홍대입구역점,요리주점,정보 없음,1175,서울 마포구 어울마당로 134 1층,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['매일', '17:00 - 02:00']]",0507-1371-9555
맥주왕명주,"맥주,호프",4.73,정보 없음,서울 마포구 어울마당로 147-1 동원빌딩 1층,"[['영업 중', '03:30에 라스트오더', '3시 30분에 라스트오더'], ['매일', '17:30 - 04:00', '03:30 라스트오더'], ['- 연중무휴!']]",0507-1332-9305
붉은낙타,요리주점,정보 없음,449,서울 마포구 잔다리로 20-11 1층 붉은낙타,"[['영업 중', '00:00에 라스트오더', '0시 0분에 라스트오더'], ['일', '17:00 - 01:00', '00:00 라스트오더'], ['월', '17:00 - 01:00', '00:00 라스트오더'], ['화', '17:00 - 01:00', '00:00 라스트오더'], ['수', '17:00 - 01:00', '00:00 라스트오더'], ['목', '17:00 - 01:00', '00:00 라스트오더'], ['금', '17:00 - 03:00', '02:00 라스트오더'], ['토', '17:00 - 03:00', '02:00 라스트오더'], ['- 에어컨 공사로 인해 이틀 쉬어갑니다 ㅠㅠ']]",070-4833-5965
산울림1992,요리주점,4.45,1428,서울 마포구 서강로9길 60 산울림1992,"[['영업 중', '22:00에 라스트오더', '22시 0분에 라스트오더'], ['일', '15:00 - 23:00', '22:00 라스트오더'], ['월', '정기휴무 (매주 월요일)'], ['화', '17:00 - 24:00', '23:00 라스트오더'], ['수', '17:00 - 24:00', '23:00 라스트오더'], ['목', '17:00 - 24:00', '23:00 라스트오더'], ['금', '17:00 - 01:00', '00:00 라스트오더'], ['토', '17:00 - 01:00', '00:00 라스트오더']]",0507-1417-0352
훈민정음 서울합정점,요리주점,4.52,664,서울 마포구 독막로7길 21,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['일', '17:00 - 02:00'], ['월', '17:00 - 02:00'], ['화', '17:00 - 02:00'], ['수', '17:00 - 02:00'], ['목', '17:00 - 02:00'], ['금', '16:00 - 04:00'], ['토', '16:00 - 04:00']]",02-336-1447
썬키친,요리주점,4.89,1222,서울 마포구 양화로6길 50 2층,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더'], ['일', '12:00 - 24:00', '23:00 라스트오더'], ['월', '정기휴무 (매주 월요일)'], ['화', '12:00 - 24:00', '23:00 라스트오더'], ['수', '12:00 - 24:00', '23:00 라스트오더'], ['목', '12:00 - 24:00', '23:00 라스트오더'], ['금', '12:00 - 24:00', '23:00 라스트오더'], ['토', '12:00 - 24:00', '23:00 라스트오더']]",0507-1338-4681
쿠시노주방,이자카야,4.39,1410,서울 마포구 동교로 218-1 지하1층 쿠시노주방,"[['영업 중', '23:30에 라스트오더', '23시 30분에 라스트오더'], ['일', '16:00 - 01:00', '23:30 라스트오더'], ['월', '16:00 - 01:00', '23:30 라스트오더'], ['화', '16:00 - 01:00', '23:30 라스트오더'], ['수', '16:00 - 01:00', '23:30 라스트오더'], ['목', '16:00 - 01:00', '23:30 라스트오더'], ['금', '16:00 - 02:00', '00:30 라스트오더'], ['토', '15:00 - 02:00', '00:30 라스트오더']]",010-7245-0503
토끼다이닝,요리주점,정보 없음,164,서울 마포구 독막로5길 5 2층,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더'], ['일', '12:00 - 24:00', '23:00 라스트오더'], ['월', '12:00 - 24:00', '23:00 라스트오더'], ['화', '12:00 - 24:00', '23:00 라스트오더'], ['수', '12:00 - 24:00', '23:00 라스트오더'], ['목', '12:00 - 24:00', '23:00 라스트오더'], ['금', '12:00 - 02:00', '01:00 라스트오더'], ['토', '12:00 - 02:00', '01:00 라스트오더']]",0507-1375-2431
술로름,요리주점,정보 없음,135,서울 마포구 양화로21길 33 B1,"[['영업 중', '00:00에 라스트오더', '0시 0분에 라스트오더'], ['일', '16:00 - 01:00', '00:00 라스트오더'], ['월', '16:00 - 01:00', '00:00 라스트오더'], ['화', '16:00 - 01:00', '00:00 라스트오더'], ['수', '16:00 - 01:00', '00:00 라스트오더'], ['목', '16:00 - 01:00', '00:00 라스트오더'], ['금', '16:00 - 02:00', '01:00 라스트오더'], ['토', '16:00 - 02:00', '01:00 라스트오더']]",0507-1397-3412
호맥 합정점,"맥주,호프",4.44,정보 없음,서울 마포구 독막로5길 5 대웅빌딩 1층 호맥,"[['영업 중', '00:30에 라스트오더', '0시 30분에 라스트오더'], ['일', '14:00 - 01:30', '00:30 라스트오더'], ['월', '16:30 - 01:30', '00:30 라스트오더'], ['화', '16:30 - 01:30', '00:30 라스트오더'], ['수', '16:30 - 01:30', '00:30 라스트오더'], ['목', '16:30 - 01:30', '00:30 라스트오더'], ['금', '16:30 - 02:00', '01:00 라스트오더'], ['토', '14:00 - 02:00', '01:00 라스트오더']]",02-333-7466
상수주택,요리주점,정보 없음,463,서울 마포구 독막로15길 19 2층 상수주택,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료'], ['매일', '15:00 - 01:00']]",0507-1313-4083
연술집,요리주점,4.83,613,서울 마포구 연희로1길 36 2층 201호,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['일', '15:00 - 24:00'], ['월', '15:00 - 24:00'], ['화', '15:00 - 24:00'], ['수', '15:00 - 24:00'], ['목', '15:00 - 24:00'], ['금', '15:00 - 01:00'], ['토', '15:00 - 01:00'], ['- 4/20 휴무입니다.']]",0507-1358-3675
홍대공감,이자카야,정보 없음,834,서울 마포구 와우산로17길 10 2F,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['매일', '16:00 - 02:00'], ['- 정부 방역지침으로 인한 영업시간 조정']]",0507-1319-1675
무채색,요리주점,정보 없음,463,서울 마포구 동교로32길 19 3층,"[['곧 영업 시작', '18:00에 영업 시작', '18시 0분에 영업 시작'], ['일', '18:00 - 24:00', '23:00 라스트오더'], ['월', '18:00 - 24:00', '23:00 라스트오더'], ['화', '18:00 - 24:00', '23:00 라스트오더'], ['수', '18:00 - 24:00', '23:00 라스트오더'], ['목', '18:00 - 24:00', '23:00 라스트오더'], ['금', '18:00 - 02:00', '01:00 라스트오더'], ['토', '18:00 - 02:00', '01:00 라스트오더']]",0507-1354-4046
