name,type,star_rating,review_sum,address,time_info,contact
라온,요리주점,정보 없음,326,서울 마포구 동교로 266-6 반지층,"[['곧 영업 시작', '17:00에 영업 시작', '17시 0분에 영업 시작'], ['일', '17:00 - 24:00'], ['월', '17:00 - 24:00'], ['화', '17:00 - 24:00'], ['수', '17:00 - 24:00'], ['목', '17:00 - 24:00'], ['금', '17:00 - 02:00'], ['토', '17:00 - 02:00'], ['격주 월요일 정기 휴무']]",02-2088-6244
바란스,술집,정보 없음,441,서울 마포구 동교로 266-5 1층,"[['곧 영업 시작', '17:00에 영업 시작', '17시 0분에 영업 시작'], ['일', '17:00 - 03:00', '01:40 라스트오더'], ['월', '정기휴무 (매주 월요일)'], ['화', '17:00 - 03:00', '01:40 라스트오더'], ['수', '17:00 - 03:00', '01:40 라스트오더'], ['목', '17:00 - 03:00', '01:40 라스트오더'], ['금', '17:00 - 03:00', '01:40 라스트오더'], ['토', '17:00 - 03:00', '01:40 라스트오더']]",010-8441-4846
청화접,요리주점,정보 없음,정보 없음,서울 마포구 동교로 268 지하1층 청화접,"[['곧 영업 시작', '17:00에 영업 시작', '17시 0분에 영업 시작'], ['일', '17:00 - 24:00', '23:00 라스트오더'], ['월', '17:00 - 24:00', '23:00 라스트오더'], ['화', '17:00 - 24:00', '23:00 라스트오더'], ['수', '17:00 - 24:00', '23:00 라스트오더'], ['목', '17:00 - 24:00', '23:00 라스트오더'], ['금', '17:00 - 01:00', '00:00 라스트오더'], ['토', '17:00 - 01:00', '00:00 라스트오더']]",0507-1333-6580
란콰이진 연남본점,요리주점,4.89,1502,서울 마포구 성미산로29안길 27-6 1층,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더'], ['일', '16:00 - 23:30', '23:00 라스트오더'], ['월', '정기휴무 (매주 월요일)'], ['화(7/25)', '휴무'], ['수', '17:00 - 23:30', '23:00 라스트오더'], ['목', '17:00 - 23:30', '23:00 라스트오더'], ['금', '17:00 - 23:30', '23:00 라스트오더'], ['토', '16:00 - 01:00', '00:30 라스트오더'], [''], ['- 배달 및 포장은 24시 까지 운영합니다.']]",0507-1439-0774
소주방,요리주점,4.5,988,"서울 마포구 동교로 266-12 1층,2층","[['곧 영업 시작', '17:00에 영업 시작', '17시 0분에 영업 시작'], ['일', '17:00 - 24:00'], ['월', '17:00 - 24:00'], ['화', '17:00 - 24:00'], ['수', '17:00 - 24:00'], ['목', '17:00 - 24:00'], ['금', '17:00 - 02:00'], ['토', '16:00 - 02:00']]",0507-1351-0896
꼬요식당,요리주점,4.83,769,서울 마포구 동교로 275-1 꼬요식당,"[['곧 영업 시작', '17:00에 영업 시작', '17시 0분에 영업 시작'], ['일', '17:00 - 01:00', '00:00 라스트오더'], ['월', '17:00 - 01:00', '00:00 라스트오더'], ['화', '17:00 - 01:00', '00:00 라스트오더'], ['수', '17:00 - 01:00', '00:00 라스트오더'], ['목', '17:00 - 01:00', '00:00 라스트오더'], ['금', '17:00 - 02:00', '01:00 라스트오더'], ['토', '17:00 - 02:00', '01:00 라스트오더']]",0507-1410-8917
화담,요리주점,정보 없음,852,서울 마포구 성미산로 149-8 1층 화담,"[['곧 영업 시작', '17:00에 영업 시작', '17시 0분에 영업 시작'], ['일', '17:00 - 24:00', '15:00 - 17:00 브레이크타임', '22:30 라스트오더'], ['월', '17:00 - 24:00', '22:30 라스트오더'], ['화', '17:00 - 24:00', '15:00 - 17:00 브레이크타임', '22:30 라스트오더'], ['수', '17:00 - 24:00', '15:00 - 17:00 브레이크타임', '22:30 라스트오더'], ['목', '17:00 - 24:00', '15:00 - 17:00 브레이크타임', '22:30 라스트오더'], ['금', '17:00 - 24:00', '15:00 - 17:00 브레이크타임', '22:30 라스트오더'], ['토', '17:00 - 24:00', '15:00 - 17:00 브레이크타임', '22:30 라스트오더']]",0507-1407-9076
요코쵸,이자카야,4.5,1441,서울 마포구 성미산로 161-15 1층,"[['곧 영업 시작', '17:00에 영업 시작', '17시 0분에 영업 시작'], ['매일', '17:00 - 23:50', '22:50 라스트오더']]",02-324-8875
전주상회,요리주점,4.46,754,서울 마포구 성미산로 195 106호,"[['곧 영업 시작', '17:00에 영업 시작', '17시 0분에 영업 시작'], ['매일', '17:00 - 03:00', '02:00 라스트오더']]",0507-1397-9777
연주방,요리주점,4.51,905,서울 마포구 동교로46길 7 주차장 쪽 반지층,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['일', '16:00 - 24:00'], ['월', '17:00 - 24:00'], ['화', '17:00 - 24:00'], ['수', '17:00 - 24:00'], ['목', '17:00 - 24:00'], ['금', '16:00 - 01:00'], ['토', '16:00 - 01:00'], ['- 휴무는 따로 공지 할게요']]",010-4346-4026
열정타코,요리주점,4.75,1162,서울 마포구 성미산로29길 42 1층,"[['오늘 휴무', '매주 일요일 휴무', '매주 일요일 휴무'], ['일', '정기휴무 (매주 일요일)'], ['월', '15:00 - 23:00'], ['화', '15:00 - 23:00'], ['수', '15:00 - 23:00'], ['목', '15:00 - 23:00'], ['금', '15:00 - 23:00'], ['토', '15:00 - 23:00']]",0507-1386-1365
무채색,요리주점,정보 없음,463,서울 마포구 동교로32길 19 3층,"[['영업 전', '18:00에 영업 시작', '18시 0분에 영업 시작'], ['일', '18:00 - 24:00', '23:00 라스트오더'], ['월', '18:00 - 24:00', '23:00 라스트오더'], ['화', '18:00 - 24:00', '23:00 라스트오더'], ['수', '18:00 - 24:00', '23:00 라스트오더'], ['목', '18:00 - 24:00', '23:00 라스트오더'], ['금', '18:00 - 02:00', '01:00 라스트오더'], ['토', '18:00 - 02:00', '01:00 라스트오더']]",0507-1354-4046
