name,type,star_rating,review_sum,address,time_info,contact
컴피,와인,정보 없음,654,서울 마포구 양화로6길 32 2층,"[['영업 종료', '14:00에 영업 시작', '14시 0분에 영업 시작'], ['일', '14:00 - 24:00'], ['월', '17:00 - 24:00'], ['화', '17:00 - 24:00'], ['수', '17:00 - 24:00'], ['목', '17:00 - 24:00'], ['금', '17:00 - 24:00'], ['토', '14:00 - 24:00'], ['- 연중무휴로 운영되고 있습니다']]",0507-1330-4489
남자식탁,이자카야,4.57,502,서울 마포구 월드컵로3길 31-8 1층 남자식탁,"[['오늘 휴무', '매주 일요일 휴무', '매주 일요일 휴무'], ['일', '정기휴무 (매주 일요일)'], ['월', '17:30 - 23:00', '22:00 라스트오더'], ['화', '17:30 - 23:00', '22:00 라스트오더'], ['수', '17:30 - 23:00', '22:00 라스트오더'], ['목', '17:30 - 23:00', '22:00 라스트오더'], ['금', '17:30 - 23:00', '22:00 라스트오더'], ['토', '17:00 - 23:00', '22:00 라스트오더']]",0507-1324-3035
썬키친,요리주점,4.57,502,서울 마포구 양화로6길 50 2층,"[['영업 종료', '12:00에 영업 시작', '12시 0분에 영업 시작', '펼쳐보기']]",0507-1338-4681
디엠,술집,4.89,1220,서울 마포구 토정로3안길 18 지하1층 매장입니다,"[['영업 중', '01:30에 라스트오더', '1시 30분에 라스트오더'], ['토', '16:10 - 02:00', '01:30 라스트오더'], ['일', '16:10 - 01:00', '00:30 라스트오더'], ['월', '17:40 - 01:00', '00:30 라스트오더'], ['화', '17:40 - 01:00', '00:30 라스트오더'], ['수', '17:40 - 01:00', '00:30 라스트오더'], ['목', '17:40 - 01:00', '00:30 라스트오더'], ['금', '17:40 - 02:00', '01:30 라스트오더'], ['- 연중무휴입니다 혹시 가게문이 닫혀있다면 꼭 전화주세요!']]",0507-1329-6429
토끼다이닝,요리주점,정보 없음,162,서울 마포구 독막로5길 5 2층,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더'], ['토', '12:00 - 02:00', '01:00 라스트오더'], ['일', '12:00 - 24:00', '23:00 라스트오더'], ['월', '12:00 - 24:00', '23:00 라스트오더'], ['화', '12:00 - 24:00', '23:00 라스트오더'], ['수', '12:00 - 24:00', '23:00 라스트오더'], ['목', '12:00 - 24:00', '23:00 라스트오더'], ['금', '12:00 - 02:00', '01:00 라스트오더']]",0507-1375-2431
미나리,요리주점,정보 없음,370,서울 마포구 양화로6길 14 1층 코너점포,"[['영업 중', '01:20에 라스트오더', '1시 20분에 라스트오더'], ['토', '17:00 - 02:00', '01:20 라스트오더'], ['일', '17:00 - 12:30', '11:50 라스트오더'], ['월', '17:00 - 12:30', '11:50 라스트오더'], ['화', '17:00 - 12:30', '11:50 라스트오더'], ['수', '17:00 - 12:30', '11:50 라스트오더'], ['목', '17:00 - 12:30', '11:50 라스트오더'], ['금', '17:00 - 02:00', '01:20 라스트오더']]",010-9585-7805
호맥 합정점,"맥주,호프",4.44,정보 없음,서울 마포구 독막로5길 5 대웅빌딩 1층 호맥,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더'], ['토', '14:00 - 02:00', '01:00 라스트오더'], ['일', '14:00 - 01:30', '00:30 라스트오더'], ['월', '16:30 - 01:30', '00:30 라스트오더'], ['화', '16:30 - 01:30', '00:30 라스트오더'], ['수', '16:30 - 01:30', '00:30 라스트오더'], ['목', '16:30 - 01:30', '00:30 라스트오더'], ['금', '16:30 - 02:00', '01:00 라스트오더']]",02-333-7466
이키,이자카야,4.44,정보 없음,서울 마포구 성지길 36-20 1층,"[['영업 종료', '17:00에 영업 시작', '17시 0분에 영업 시작'], ['일', '17:00 - 24:00', '23:00 라스트오더'], ['월', '18:00 - 01:00', '00:00 라스트오더'], ['화', '18:00 - 01:00', '00:00 라스트오더'], ['수', '18:00 - 01:00', '00:00 라스트오더'], ['목', '18:00 - 01:00', '00:00 라스트오더'], ['금', '18:00 - 01:00', '00:00 라스트오더'], ['토', '17:00 - 01:00', '00:00 라스트오더']]",010-9915-5915
아소토,이자카야,4.56,519,서울 마포구 독막로2길 34 1층 아소토,"[['영업 종료', '17:00에 영업 시작', '17시 0분에 영업 시작'], ['일', '17:00 - 23:00', '21:30 라스트오더'], ['월', '정기휴무 (매주 월요일)'], ['화', '18:00 - 24:00', '22:30 라스트오더'], ['수', '18:00 - 24:00', '22:30 라스트오더'], ['목', '18:00 - 24:00', '22:30 라스트오더'], ['금', '18:00 - 24:00', '22:30 라스트오더'], ['토', '17:00 - 24:00', '22:30 라스트오더'], ['- 일요일은 라스트오더 21:50 입니다.']]",0507-1345-9622
심야식당 오밤중,요리주점,4.56,519,서울 마포구 포은로2가길 6 1층,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더', '펼쳐보기'], [''], [''], ['휴무일', '07/24']]",0507-1412-8824
깊은숲,"맥주,호프",4.89,366,서울 마포구 독막로 27,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료', '펼쳐보기']]",0507-1410-6865
낮달,요리주점,4.72,664,서울 마포구 독막로5길 8 1층 낮달,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료', '펼쳐보기']]",0507-1312-0597
금강산호프,"맥주,호프",4.37,841,서울 마포구 성지길 18,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['토', '15:00 - 02:00'], ['일', '15:00 - 02:00'], ['월', '15:00 - 02:00'], ['화', '15:00 - 02:00'], ['수', '15:00 - 02:00'], ['목', '15:00 - 02:00'], ['금', '15:00 - 02:00'], ['매달 2번째 일요일 정기 휴무']]",02-334-8120
히게쯔라,이자카야,4.56,426,서울 마포구 양화로1길 42 1층,"[['영업 종료', '16:00에 영업 시작', '16시 0분에 영업 시작', '펼쳐보기']]",0507-1317-4883
과일가게,술집,정보 없음,562,서울 마포구 동교로 40,"[['오늘 휴무', '매주 일요일 휴무', '매주 일요일 휴무'], ['일', '정기휴무 (매주 일요일)'], ['월', '18:00 - 01:00'], ['화', '18:00 - 01:00'], ['수', '18:00 - 01:00'], ['목', '18:00 - 01:00'], ['금', '18:00 - 01:00'], ['토', '18:00 - 01:00']]",02-336-3859
호랑이,요리주점,4.16,233,서울 마포구 성지3길 23,"[['영업 종료', '18:00에 영업 시작', '18시 0분에 영업 시작'], ['매일', '18:00 - 24:00', '23:00 라스트오더']]",010-5567-1637
넉탐,요리주점,4.16,233,서울 마포구 양화로1길 25,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['매일', '16:00 - 02:00']]",0507-1345-5640
시소,요리주점,4.39,319,서울 마포구 독막로 43-1 3층 시소,"[['영업 종료', '17:00에 영업 시작', '17시 0분에 영업 시작'], ['일', '17:00 - 01:00'], ['월', '정기휴무 (매주 월요일)'], ['화', '17:00 - 01:00'], ['수', '17:00 - 01:00'], ['목', '17:00 - 01:00'], ['금', '17:00 - 01:00'], ['토', '17:00 - 01:00']]",0507-1412-8744
카사블랑코,"맥주,호프",4.7,227,서울 마포구 양화로1길 29 1층,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['토', '16:00 - 02:00'], ['일', '16:00 - 02:00'], ['월', '16:00 - 02:00'], ['화', '16:00 - 02:00'], ['수', '16:00 - 02:00'], ['목', '16:00 - 02:00'], ['금', '16:00 - 02:00']]",0507-1484-9596
색다른한잔,"맥주,호프",4.34,451,서울 마포구 독막로2길 35 1층 색다른한잔,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['토', '16:00 - 02:00'], ['일', '17:00 - 01:00'], ['월', '18:00 - 24:00'], ['화', '16:00 - 01:00'], ['수', '17:00 - 01:00'], ['목', '16:00 - 01:00'], ['금', '17:00 - 02:00']]",070-4222-4198
형제집,요리주점,4.42,564,서울 마포구 포은로 39 1층 형제집,"[['영업 중', '01:30에 라스트오더', '1시 30분에 라스트오더', '펼쳐보기']]",0507-1489-2230
윤슬,요리주점,4.61,303,서울 마포구 독막로4길 9 1층 가운데 검정문,"[['오늘 휴무', '07/23 휴무', '07/23 휴무'], ['일(7/23)', '휴무'], ['월', '정기휴무 (매주 월요일)'], ['화(7/25)', '휴무'], ['수', '17:00 - 24:00'], ['목', '17:00 - 24:00'], ['금', '17:00 - 01:00'], ['토', '17:00 - 01:00'], ['접기']]",02-6081-2200
히게쯔라,이자카야,4.96,183,서울 마포구 양화로1길 42 1층,"[['영업 종료', '16:00에 영업 시작', '16시 0분에 영업 시작', '펼쳐보기']]",0507-1317-4883
주문합정,요리주점,정보 없음,91,서울 마포구 토정로 27-1 성우맨션 1.5층,"[['오늘 휴무', '매주 일요일 휴무', '매주 일요일 휴무'], ['일', '정기휴무 (매주 일요일)'], ['월', '17:00 - 24:00'], ['화', '17:00 - 24:00'], ['수', '17:00 - 24:00'], ['목', '17:00 - 24:00'], ['금', '17:00 - 01:00'], ['토', '17:00 - 01:00']]",010-8286-2494
남자식탁,이자카야,4.57,502,서울 마포구 월드컵로3길 31-8 1층 남자식탁,"[['오늘 휴무', '매주 일요일 휴무', '매주 일요일 휴무'], ['일', '정기휴무 (매주 일요일)'], ['월', '17:30 - 23:00', '22:00 라스트오더'], ['화', '17:30 - 23:00', '22:00 라스트오더'], ['수', '17:30 - 23:00', '22:00 라스트오더'], ['목', '17:30 - 23:00', '22:00 라스트오더'], ['금', '17:30 - 23:00', '22:00 라스트오더'], ['토', '17:00 - 23:00', '22:00 라스트오더']]",0507-1324-3035
슬오라,요리주점,4.57,502,서울 마포구 포은로 14 1층,"[['영업 종료', '18:00에 영업 시작', '18시 0분에 영업 시작', '펼쳐보기']]",0507-1478-7377
준지의아름다운하루,이자카야,4.47,208,서울 마포구 독막로 48 2층,"[['영업 중', '03:30에 라스트오더', '3시 30분에 라스트오더'], ['토', '18:00 - 04:00', '03:30 라스트오더'], ['일', '18:00 - 04:00', '03:30 라스트오더'], ['월', '정기휴무 (매주 월요일)'], ['화', '18:00 - 04:00', '03:30 라스트오더'], ['수', '18:00 - 04:00', '03:30 라스트오더'], ['목', '18:00 - 04:00', '03:30 라스트오더'], ['금', '18:00 - 04:00', '03:30 라스트오더']]",02-3144-6760
달리,요리주점,4.47,208,서울 마포구 양화로6길 86 2층,"[['영업 중', '04:00에 영업 종료', '4시 0분에 영업 종료'], ['토', '11:30 - 04:00'], ['일', '11:30 - 04:00'], ['월', '11:30 - 04:00'], ['화', '11:30 - 04:00'], ['수', '정기휴무 (매주 수요일)'], ['목', '11:30 - 04:00'], ['금', '11:30 - 04:00'], ['2014테이스티로드 31회, 14.08.23.', '2014년 8월 23일', ' 명란덮밥/명란파스타']]",0507-1381-4123
익순,요리주점,4.49,349,서울 마포구 양화진길 5 합정마트 입구 옆,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더'], ['토', '18:00 - 02:00', '01:00 라스트오더'], ['일', '정기휴무 (매주 일요일)'], ['월', '18:00 - 01:00', '00:00 라스트오더'], ['화', '18:00 - 01:00', '00:00 라스트오더'], ['수', '18:00 - 01:00', '00:00 라스트오더'], ['목', '18:00 - 01:00', '00:00 라스트오더'], ['금', '18:00 - 02:00', '01:00 라스트오더']]",0507-1326-9260
카즈,이자카야,4.49,440,서울 마포구 월드컵로3길 44,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['매일', '18:00 - 02:00']]",02-335-1631
와인동산,요리주점,4.49,440,서울 마포구 포은로 21 1층 와인동산,"[['오늘 휴무', '07/23 휴무', '07/23 휴무', '펼쳐보기'], [''], [''], ['휴무일', '07/23-07/24']]",0507-1366-3589
