name,type,star_rating,review_sum,address,월opening_hours,월last_order_time,화opening_hours,화last_order_time,수opening_hours,수last_order_time,목opening_hours,목last_order_time,금opening_hours,금last_order_time,토opening_hours,토last_order_time,일opening_hours,일last_order_time,contact
펍프리바다727,"맥주,호프",4.31,152,서울 마포구 양화로6길 38 3F,18:00-24:30,00:00,18:00-24:30,00:00,18:00-24:30,00:00,18:00-24:30,00:00,18:00-26:00,01:30,17:00-26:00,01:30,17:00-23:30,00:00,02-525-0911
히게쯔라,이자카야,0.0,508,서울 마포구 양화로1길 42 1층,16:00-24:00,23:00,16:00-24:00,23:00,16:00-24:00,23:00,16:00-24:00,23:00,16:00-25:00,00:00,16:00-25:00,00:00,16:00-24:00,23:00,0507-1317-4883
썬키친,요리주점,4.89,1222,서울 마포구 양화로6길 50 2층,휴무,정보 없음,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,정보 없음,0507-1338-4681
디엠,술집,0.0,405,서울 마포구 토정로3안길 18 지하1층 매장입니다,17:40-25:00,00:30,17:40-25:00,00:30,17:40-25:00,00:30,17:40-25:00,00:30,17:40-26:00,01:30,16:10-26:00,01:30,16:10-25:00,00:30,0507-1329-6429
토끼다이닝,요리주점,0.0,164,서울 마포구 독막로5길 5 2층,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,23:00,12:00-24:00,23:00,12:00-26:00,01:00,12:00-26:00,01:00,12:00-24:00,23:00,0507-1375-2431
호맥 합정점,"맥주,호프",4.44,정보 없음,서울 마포구 독막로5길 5 대웅빌딩 1층 호맥,16:30-25:30,00:30,16:30-25:30,00:30,16:30-25:30,00:30,16:30-25:30,00:30,16:30-26:00,01:00,14:00-26:00,01:00,14:00-25:30,00:30,02-333-7466
미나리,요리주점,0.0,371,서울 마포구 양화로6길 14 1층 코너점포,17:00-36:30,11:50,17:00-36:30,11:50,17:00-36:30,11:50,17:00-36:30,11:50,17:00-26:00,01:20,17:00-26:00,01:20,17:00-36:30,11:50,010-9585-7805
이키,이자카야,0.0,144,서울 마포구 성지길 36-20 1층,18:00-25:00,00:00,18:00-25:00,00:00,18:00-25:00,00:00,18:00-25:00,00:00,18:00-25:00,00:00,17:00-25:00,00:00,17:00-24:00,00:00,010-9915-5915
아소토,이자카야,4.56,520,서울 마포구 독막로2길 34 1층 아소토,휴무,정보 없음,18:00-24:00,22:30,18:00-24:00,22:30,18:00-24:00,22:30,18:00-24:00,22:30,17:00-24:00,22:30,17:00-23:00,정보 없음,0507-1345-9622
심야식당 오밤중,요리주점,4.89,366,서울 마포구 포은로2가길 6 1층,정보 없음,정보 없음,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-26:00,01:00,17:00-26:00,01:00,휴무,정보 없음,0507-1412-8824
