name,type,star_rating,review_sum,address,time_info,contact
서교주담 망원,요리주점,정보 없음,523,서울 마포구 포은로 82 1층,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['일', '15:00 - 24:00'], ['월', '17:00 - 24:00'], ['화', '17:00 - 24:00'], ['수', '17:00 - 24:00'], ['목', '17:00 - 24:00'], ['금', '17:00 - 02:00'], ['토', '15:00 - 02:00']]",010-2633-7974
슌우,요리주점,정보 없음,48,서울 마포구 포은로 63 1층,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더'], ['일', '16:00 - 02:00', '01:00 라스트오더'], ['월', '17:00 - 02:00', '01:00 라스트오더'], ['화', '17:00 - 02:00', '01:00 라스트오더'], ['수', '17:00 - 02:00', '01:00 라스트오더'], ['목', '17:00 - 02:00', '01:00 라스트오더'], ['금', '17:00 - 02:00', '01:00 라스트오더'], ['토', '16:00 - 02:00', '01:00 라스트오더']]",0507-1377-5285
서교주담 망원,요리주점,정보 없음,523,서울 마포구 포은로 82 1층,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['일', '15:00 - 24:00'], ['월', '17:00 - 24:00'], ['화', '17:00 - 24:00'], ['수', '17:00 - 24:00'], ['목', '17:00 - 24:00'], ['금', '17:00 - 02:00'], ['토', '15:00 - 02:00']]",010-2633-7974
너랑나랑호프,"맥주,호프",4.39,826,서울 마포구 월드컵로 61,"[['영업 전', '16:30에 영업 시작', '16시 30분에 영업 시작'], ['일', '16:30 - 02:00'], ['월', '16:30 - 02:00'], ['화', '16:30 - 02:00'], ['수', '16:30 - 02:00'], ['목', '16:30 - 02:00'], ['금', '16:30 - 02:00'], ['토', '16:30 - 02:00']]",010-4422-5157
정주일가,요리주점,정보 없음,392,서울 마포구 포은로 66 1층 정주일가,"[['영업 전', '17:00에 영업 시작', '17시 0분에 영업 시작'], ['일', '17:00 - 02:00', '01:00 라스트오더'], ['월', '18:00 - 02:00', '01:00 라스트오더'], ['화', '18:00 - 02:00', '01:00 라스트오더'], ['수', '18:00 - 02:00', '01:00 라스트오더'], ['목', '18:00 - 02:00', '01:00 라스트오더'], ['금', '18:00 - 02:00', '01:00 라스트오더'], ['토', '17:00 - 02:00', '01:00 라스트오더']]",0507-1396-4083
미자카야,이자카야,정보 없음,623,서울 마포구 포은로8길 5 1층,"[['오늘 휴무', '매주 일요일 휴무', '매주 일요일 휴무'], ['일', '정기휴무 (매주 일요일)'], ['월', '18:00 - 24:00', '23:00 라스트오더'], ['화', '18:00 - 24:00', '23:00 라스트오더'], ['수', '18:00 - 24:00', '23:00 라스트오더'], ['목', '18:00 - 24:00', '23:00 라스트오더'], ['금', '18:00 - 24:00', '23:00 라스트오더'], ['토', '18:00 - 24:00', '23:00 라스트오더']]",0507-1362-7637
복덕방내추럴막걸리집,요리주점,4.55,584,서울 마포구 포은로8길 5,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더'], ['일', '16:00 - 24:00', '23:00 라스트오더'], ['월', '정기휴무 (매주 월요일)'], ['화', '정기휴무 (매주 화요일)'], ['수', '18:00 - 24:00', '23:00 라스트오더'], ['목', '18:00 - 24:00', '23:00 라스트오더'], ['금', '18:00 - 24:00', '23:00 라스트오더'], ['토', '16:00 - 24:00', '23:00 라스트오더']]",070-8864-1414
웅장,요리주점,정보 없음,217,서울 마포구 포은로 73 1층,"[['오늘 휴무', '매주 일요일 휴무', '매주 일요일 휴무'], ['일', '정기휴무 (매주 일요일)'], ['월', '17:00 - 01:00', '00:00 라스트오더'], ['화', '17:00 - 01:00', '00:00 라스트오더'], ['수', '17:00 - 01:00', '00:00 라스트오더'], ['목', '17:00 - 01:00', '00:00 라스트오더'], ['금', '17:00 - 01:00', '00:00 라스트오더'], ['토', '17:00 - 01:00', '00:00 라스트오더']]",0507-1308-6389
구운,이자카야,4.6,504,서울 마포구 포은로 109 102호,"[['오늘 휴무', '매주 일요일 휴무', '매주 일요일 휴무'], ['일', '정기휴무 (매주 일요일)'], ['월', '18:00 - 24:00', '23:00 라스트오더'], ['화', '18:00 - 24:00', '23:00 라스트오더'], ['수', '18:00 - 24:00', '23:00 라스트오더'], ['목', '18:00 - 24:00', '23:00 라스트오더'], ['금', '18:00 - 24:00', '23:00 라스트오더'], ['토', '18:00 - 24:00', '23:00 라스트오더']]",02-322-5545
나나,이자카야,4.61,257,서울 마포구 희우정로20길 75 1층 나나,"[['영업 전', '17:00에 영업 시작', '17시 0분에 영업 시작'], ['일', '17:00 - 24:00'], ['월', '정기휴무 (매주 월요일)'], ['화', '17:00 - 24:00'], ['수', '17:00 - 24:00'], ['목', '17:00 - 24:00'], ['금', '17:00 - 01:00'], ['토', '17:00 - 01:00'], ['- 둘째, 넷째주 일요일 휴무']]",0507-1348-3237
