create_time,area,name,type,star_rating,review_sum,address,mon_opening_hours,mon_last_order_time,tue_opening_hours,tue_last_order_time,wed_opening_hours,wed_last_order_time,thu_opening_hours,thu_last_order_time,fri_opening_hours,fri_last_order_time,sat_opening_hours,sat_last_order_time,sun_opening_hours,sun_last_order_time,contact
2023-07-26 16:54:42,mangwon,서교주담 망원,요리주점,0.0,523,서울 마포구 포은로 82 1층,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-26:00,정보 없음,15:00-26:00,정보 없음,15:00-24:00,정보 없음,010-2633-7974
2023-07-26 16:54:42,mangwon,슌우,요리주점,0.0,48,서울 마포구 포은로 63 1층,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,16:00-26:00,01:00,16:00-26:00,01:00,0507-1377-5285
2023-07-26 16:54:42,mangwon,서교주담 망원,요리주점,0.0,523,서울 마포구 포은로 82 1층,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-26:00,정보 없음,15:00-26:00,정보 없음,15:00-24:00,정보 없음,010-2633-7974
2023-07-26 16:54:42,mangwon,너랑나랑호프,"맥주,호프",4.39,826,서울 마포구 월드컵로 61,16:30-26:00,정보 없음,16:30-26:00,정보 없음,16:30-26:00,정보 없음,16:30-26:00,정보 없음,16:30-26:00,정보 없음,16:30-26:00,정보 없음,16:30-26:00,정보 없음,010-4422-5157
2023-07-26 16:54:42,mangwon,정주일가,요리주점,0.0,392,서울 마포구 포은로 66 1층 정주일가,18:00-26:00,01:00,18:00-26:00,01:00,18:00-26:00,01:00,18:00-26:00,01:00,18:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,0507-1396-4083
2023-07-26 16:54:42,mangwon,미자카야,이자카야,0.0,623,서울 마포구 포은로8길 5 1층,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,휴무,23:00,0507-1362-7637
2023-07-26 16:54:42,mangwon,복덕방내추럴막걸리집,요리주점,4.55,584,서울 마포구 포은로8길 5,휴무,정보 없음,휴무,정보 없음,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,16:00-24:00,23:00,16:00-24:00,정보 없음,070-8864-1414
2023-07-26 16:54:42,mangwon,웅장,요리주점,0.0,217,서울 마포구 포은로 73 1층,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,휴무,00:00,0507-1308-6389
2023-07-26 16:54:42,mangwon,구운,이자카야,4.6,504,서울 마포구 포은로 109 102호,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,휴무,23:00,02-322-5545
2023-07-26 16:54:42,mangwon,나나,이자카야,4.61,257,서울 마포구 희우정로20길 75 1층 나나,휴무,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-24:00,정보 없음,0507-1348-3237
