name,type,star_rating,review_sum,address,time_info,contact
반주,요리주점,정보 없음,90,서울 마포구 월드컵로19길 18 2층,"[['오늘 휴무', '매주 월요일 휴무', '매주 월요일 휴무'], ['월', '정기휴무 (매주 월요일)'], ['화', '17:00 - 01:00'], ['수', '17:00 - 01:00'], ['목', '17:00 - 01:00'], ['금', '17:00 - 02:00'], ['토', '17:00 - 02:00'], ['일', '17:00 - 24:00'], ['- 자세한 사항은 인스타로 공지합니다']]",0507-1426-3231
코멘터리사운드,와인,정보 없음,80,서울 마포구 월드컵로23길 18 201호,"[['오늘 휴무', '매주 월요일 휴무', '매주 월요일 휴무'], ['월', '정기휴무 (매주 월요일)'], ['화', '18:00 - 24:00', '23:30 라스트오더'], ['수', '18:00 - 24:00', '23:30 라스트오더'], ['목', '18:00 - 24:00', '23:30 라스트오더'], ['금', '18:00 - 24:00', '23:30 라스트오더'], ['토', '15:00 - 24:00', '23:30 라스트오더'], ['일', '15:00 - 24:00', '23:30 라스트오더'], ['- 8월 14일(월) 오픈합니다.']]",0507-1425-2281
너랑나랑호프,"맥주,호프",4.39,830,서울 마포구 월드컵로 61,"[['영업 전', '16:30에 영업 시작', '16시 30분에 영업 시작'], ['월', '16:30 - 02:00'], ['화', '16:30 - 02:00'], ['수', '16:30 - 02:00'], ['목', '16:30 - 02:00'], ['금', '16:30 - 02:00'], ['토', '16:30 - 02:00'], ['일', '16:30 - 02:00']]",010-4422-5157
정주일가,요리주점,정보 없음,401,서울 마포구 포은로 66 1층 정주일가,"[['영업 전', '18:00에 영업 시작', '18시 0분에 영업 시작'], ['월', '18:00 - 02:00', '01:00 라스트오더'], ['화', '18:00 - 02:00', '01:00 라스트오더'], ['수', '18:00 - 02:00', '01:00 라스트오더'], ['목', '18:00 - 02:00', '01:00 라스트오더'], ['금', '18:00 - 02:00', '01:00 라스트오더'], ['토', '17:00 - 02:00', '01:00 라스트오더'], ['일', '17:00 - 02:00', '01:00 라스트오더']]",0507-1396-4083
미자카야,이자카야,정보 없음,627,서울 마포구 포은로8길 5 1층,"[['영업 전', '18:00에 영업 시작', '18시 0분에 영업 시작'], ['월', '18:00 - 24:00', '23:00 라스트오더'], ['화', '18:00 - 24:00', '23:00 라스트오더'], ['수', '18:00 - 24:00', '23:00 라스트오더'], ['목', '18:00 - 24:00', '23:00 라스트오더'], ['금', '18:00 - 24:00', '23:00 라스트오더'], ['토', '18:00 - 24:00', '23:00 라스트오더'], ['일', '정기휴무 (매주 일요일)']]",0507-1362-7637
서교주담 망원,요리주점,정보 없음,565,서울 마포구 포은로 82 1층,"[['영업 전', '17:00에 영업 시작', '17시 0분에 영업 시작'], ['월', '17:00 - 24:00'], ['화', '17:00 - 24:00'], ['수', '17:00 - 24:00'], ['목', '17:00 - 24:00'], ['금', '17:00 - 02:00'], ['토', '15:00 - 02:00'], ['일', '15:00 - 24:00']]",010-2633-7974
웅장,요리주점,정보 없음,219,서울 마포구 포은로 73 1층,"[['영업 전', '17:00에 영업 시작', '17시 0분에 영업 시작'], ['월', '17:00 - 01:00', '00:00 라스트오더'], ['화', '17:00 - 01:00', '00:00 라스트오더'], ['수', '17:00 - 01:00', '00:00 라스트오더'], ['목', '17:00 - 01:00', '00:00 라스트오더'], ['금', '17:00 - 01:00', '00:00 라스트오더'], ['토', '17:00 - 01:00', '00:00 라스트오더'], ['일', '정기휴무 (매주 일요일)']]",0507-1308-6389
구운,이자카야,4.6,508,서울 마포구 포은로 109 102호,"[['영업 전', '18:00에 영업 시작', '18시 0분에 영업 시작'], ['월', '18:00 - 24:00', '23:00 라스트오더'], ['화', '18:00 - 24:00', '23:00 라스트오더'], ['수', '18:00 - 24:00', '23:00 라스트오더'], ['목', '18:00 - 24:00', '23:00 라스트오더'], ['금', '18:00 - 24:00', '23:00 라스트오더'], ['토', '18:00 - 24:00', '23:00 라스트오더'], ['일', '정기휴무 (매주 일요일)']]",02-322-5545
복덕방내추럴막걸리집,요리주점,4.55,582,서울 마포구 포은로8길 5,"[['오늘 휴무', '매주 월요일 휴무', '매주 월요일 휴무'], ['월', '정기휴무 (매주 월요일)'], ['화', '정기휴무 (매주 화요일)'], ['수', '18:00 - 24:00', '23:00 라스트오더'], ['목', '18:00 - 24:00', '23:00 라스트오더'], ['금', '18:00 - 24:00', '23:00 라스트오더'], ['토', '16:00 - 24:00', '23:00 라스트오더'], ['일', '16:00 - 24:00', '23:00 라스트오더']]",070-8864-1414
리파인 망원,요리주점,정보 없음,182,서울 마포구 포은로 63 형섭빌딩 2층,"[['영업 전', '17:00에 영업 시작', '17시 0분에 영업 시작'], ['월', '17:00 - 01:00'], ['화', '정기휴무 (매주 화요일)'], ['수', '17:00 - 01:00'], ['목', '17:00 - 01:00'], ['금', '17:00 - 02:00'], ['토', '17:00 - 02:00'], ['일', '17:00 - 01:00']]",0507-1346-3024
