name,type,star_rating,review_sum,address,time_info,contact
백색소음,와인,4.71,190,서울 서대문구 연희로 38-12,"[['영업 중', '12:00에 영업 종료', '12시 0분에 영업 종료'], ['일', '17:30 - 12:00'], ['월', '정기휴무 (매주 월요일)'], ['화', '정기휴무 (매주 화요일)'], ['수', '18:00 - 01:00'], ['목', '18:00 - 01:00'], ['금', '18:00 - 02:00'], ['토', '17:30 - 03:00']]",010-3099-5882
레이씨,요리주점,4.65,226,서울 서대문구 연희맛로 17-14 이층,"[['오늘 휴무', '격주 일요일 휴무', '격주 일요일 휴무'], ['일(7/23)', '정기휴무 (격주 일요일)'], ['월', '17:00 - 01:00'], ['화', '17:00 - 01:00'], ['수', '17:00 - 01:00'], ['목', '17:00 - 01:00'], ['금', '17:00 - 01:00'], ['토', '17:00 - 01:00'], ['격주 일요일 정기 휴무']]",0507-1309-4390
공작 퓨전 비스트로,요리주점,4.88,800,서울 서대문구 연희맛로 17-35 1층,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더'], ['일', '15:00 - 24:00', '23:00 라스트오더'], ['월', '16:00 - 24:00', '23:00 라스트오더'], ['화', '16:00 - 24:00', '23:00 라스트오더'], ['수', '16:00 - 24:00', '23:00 라스트오더'], ['목', '16:00 - 24:00', '23:00 라스트오더'], ['금', '16:00 - 01:00', '00:00 라스트오더'], ['토', '16:00 - 01:00', '00:00 라스트오더']]",0507-1373-5433
희로,이자카야,4.58,463,서울 서대문구 성산로 325,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['일', '17:00 - 24:00'], ['월', '17:00 - 24:00'], ['화', '17:00 - 24:00'], ['수', '정기휴무 (매주 수요일)'], ['목', '17:00 - 24:00'], ['금', '17:00 - 24:00'], ['토', '17:00 - 24:00']]",정보 없음
정리의밤,요리주점,4.82,159,서울 서대문구 연희맛로 31-10 정리의밤,"[['오늘 휴무', '매주 일요일 휴무', '매주 일요일 휴무'], ['일', '정기휴무 (매주 일요일)'], ['월', '18:00 - 24:00', '23:00 라스트오더'], ['화', '18:00 - 24:00', '23:00 라스트오더'], ['수', '18:00 - 24:00', '23:00 라스트오더'], ['목', '18:00 - 24:00', '23:00 라스트오더'], ['금', '18:00 - 24:00', '23:00 라스트오더'], ['토', '18:00 - 24:00', '23:00 라스트오더']]",010-9469-3102
미정,요리주점,정보 없음,409,서울 서대문구 연희로11가길 53,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더'], ['일', '17:00 - 24:00', '23:00 라스트오더'], ['월', '17:00 - 24:00', '23:00 라스트오더'], ['화', '17:00 - 24:00', '23:00 라스트오더'], ['수', '17:00 - 24:00', '23:00 라스트오더'], ['목', '17:00 - 24:00', '23:00 라스트오더'], ['금', '17:00 - 02:00', '01:00 라스트오더'], ['토', '17:00 - 02:00', '01:00 라스트오더'], ['- 오후5시~새벽2시 영업 합니다']]",0507-1362-4454
마세,요리주점,4.58,240,서울 서대문구 연희로11가길 47,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['일', '17:00 - 24:00'], ['월(7/24)', '휴무'], ['화', '18:00 - 24:00'], ['수', '18:00 - 24:00'], ['목', '18:00 - 24:00'], ['금', '17:00 - 24:00'], ['토', '17:00 - 24:00'], ['접기']]",0507-1403-7292
연술,요리주점,정보 없음,224,서울 서대문구 연희맛로 17-13 2층,"[['오늘 휴무', '07/23 휴무', '07/23 휴무'], ['일(7/23)', '휴무'], ['월(7/24)', '휴무'], ['화(7/25)', '휴무'], ['수(7/26)', '휴무'], ['목(7/27)', '휴무'], ['금(7/28)', '휴무'], ['토(7/29)', '휴무'], ['07/01-07/31 휴무']]",0507-1361-0075
야식포차,포장마차,4.47,172,서울 서대문구 성산로 337,정보 없음,0507-1329-4452
요릿집,요리주점,4.72,299,서울 서대문구 연희맛로 36,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['일', '18:00 - 24:00'], ['월', '18:00 - 24:00'], ['화', '18:00 - 24:00'], ['수', '정기휴무 (매주 수요일)'], ['목', '18:00 - 24:00'], ['금', '18:00 - 24:00'], ['토', '17:00 - 24:00']]",02-395-7004
레이씨,요리주점,4.65,226,서울 서대문구 연희맛로 17-14 이층,"[['오늘 휴무', '격주 일요일 휴무', '격주 일요일 휴무'], ['일(7/23)', '정기휴무 (격주 일요일)'], ['월', '17:00 - 01:00'], ['화', '17:00 - 01:00'], ['수', '17:00 - 01:00'], ['목', '17:00 - 01:00'], ['금', '17:00 - 01:00'], ['토', '17:00 - 01:00'], ['격주 일요일 정기 휴무']]",0507-1309-4390
또또,요리주점,정보 없음,57,서울 서대문구 홍제천로6길 2 1층(연희동),"[['오늘 휴무', '매주 일요일 휴무', '매주 일요일 휴무'], ['일', '정기휴무 (매주 일요일)'], ['월(7/24)', '휴무'], ['화', '18:00 - 01:00', '00:00 라스트오더'], ['수', '18:00 - 01:00', '00:00 라스트오더'], ['목', '18:00 - 01:00', '00:00 라스트오더'], ['금', '17:00 - 01:00', '00:00 라스트오더'], ['토', '17:00 - 01:00', '00:00 라스트오더'], ['접기']]",0507-1358-7312
카덴,이자카야,4.06,870,서울 서대문구 연희로 173 거화빌딩,"[['오늘 휴무', '매주 일요일 휴무', '매주 일요일 휴무'], ['일', '정기휴무 (매주 일요일)'], ['월', '정기휴무 (매주 월요일)'], ['화', '11:30 - 22:00'], ['수', '11:30 - 22:00'], ['목', '11:30 - 22:00'], ['금', '11:30 - 22:00'], ['토', '11:30 - 22:00']]",02-3142-6362
드렁크몽크,바(BAR),4.61,100,서울 서대문구 연희맛로 3-4 히든플레이스 지하 1층,"[['영업 전', '19:00에 영업 시작', '19시 0분에 영업 시작'], ['매일', '19:00 - 04:00', '03:30 라스트오더']]",010-4388-7587
심두,바(BAR),4.77,278,서울 서대문구 홍연길 82 2층 202호,"[['영업 종료', '내일 휴무', '내일 휴무'], ['일', '12:00 - 18:00', '15:00 - 16:00 브레이크타임'], ['월', '정기휴무 (매주 월요일)'], ['화', '정기휴무 (매주 화요일)'], ['수', '12:00 - 16:00'], ['목', '12:00 - 16:00'], ['금', '12:00 - 16:00'], ['토', '12:00 - 18:00', '15:00 - 16:00 브레이크타임']]",0507-1498-0517
탭스터,"맥주,호프",4.83,374,서울 서대문구 증가로 1 103호,"[['영업 중', '21:30에 라스트오더', '21시 30분에 라스트오더'], ['일', '17:00 - 23:00', '21:30 라스트오더'], ['월', '정기휴무 (매주 월요일)'], ['화', '정기휴무 (매주 화요일)'], ['수', '18:00 - 23:00', '21:30 라스트오더'], ['목', '18:00 - 23:00', '21:30 라스트오더'], ['금', '18:00 - 23:00', '21:30 라스트오더'], ['토', '17:00 - 23:00', '21:30 라스트오더'], ['08/02 휴무']]",0507-1337-2448
