name,type,star_rating,review_sum,address,월opening_hours,월last_order_time,화opening_hours,화last_order_time,수opening_hours,수last_order_time,목opening_hours,목last_order_time,금opening_hours,금last_order_time,토opening_hours,토last_order_time,일opening_hours,일last_order_time,contact
백색소음,와인,4.71,190,서울 서대문구 연희로 38-12,휴무,정보 없음,휴무,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-26:00,정보 없음,17:30-27:00,정보 없음,17:30-36:00,정보 없음,010-3099-5882
레이씨,요리주점,4.65,226,서울 서대문구 연희맛로 17-14 이층,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,정보 없음,정보 없음,0507-1309-4390
공작 퓨전 비스트로,요리주점,4.88,800,서울 서대문구 연희맛로 17-35 1층,16:00-24:00,23:00,16:00-24:00,23:00,16:00-24:00,23:00,16:00-24:00,23:00,16:00-25:00,00:00,16:00-25:00,00:00,15:00-24:00,23:00,0507-1373-5433
희로,이자카야,4.58,463,서울 서대문구 성산로 325,17:00-24:00,정보 없음,17:00-24:00,정보 없음,휴무,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,정보 없음
정리의밤,요리주점,4.82,159,서울 서대문구 연희맛로 31-10 정리의밤,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,휴무,23:00,010-9469-3102
미정,요리주점,0.0,409,서울 서대문구 연희로11가길 53,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-24:00,23:00,0507-1362-4454
마세,요리주점,4.58,240,서울 서대문구 연희로11가길 47,정보 없음,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,0507-1403-7292
연술,요리주점,0.0,224,서울 서대문구 연희맛로 17-13 2층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1361-0075
야식포차,포장마차,4.47,172,서울 서대문구 성산로 337,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1329-4452
요릿집,요리주점,4.72,299,서울 서대문구 연희맛로 36,18:00-24:00,정보 없음,18:00-24:00,정보 없음,휴무,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,17:00-24:00,정보 없음,18:00-24:00,정보 없음,02-395-7004
레이씨,요리주점,4.65,226,서울 서대문구 연희맛로 17-14 이층,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,정보 없음,정보 없음,0507-1309-4390
또또,요리주점,0.0,57,서울 서대문구 홍제천로6길 2 1층(연희동),정보 없음,정보 없음,18:00-25:00,00:00,18:00-25:00,00:00,18:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,휴무,정보 없음,0507-1358-7312
카덴,이자카야,4.06,870,서울 서대문구 연희로 173 거화빌딩,휴무,정보 없음,11:30-22:00,정보 없음,11:30-22:00,정보 없음,11:30-22:00,정보 없음,11:30-22:00,정보 없음,11:30-22:00,정보 없음,휴무,정보 없음,02-3142-6362
드렁크몽크,바(BAR),4.61,100,서울 서대문구 연희맛로 3-4 히든플레이스 지하 1층,19:00-28:00,03:30,19:00-28:00,03:30,19:00-28:00,03:30,19:00-28:00,03:30,19:00-28:00,03:30,19:00-28:00,03:30,19:00-28:00,03:30,010-4388-7587
심두,바(BAR),4.77,278,서울 서대문구 홍연길 82 2층 202호,휴무,정보 없음,휴무,정보 없음,12:00-16:00,정보 없음,12:00-16:00,정보 없음,12:00-16:00,정보 없음,12:00-18:00,15:00 - 16:00 브레이크타임,12:00-18:00,정보 없음,0507-1498-0517
탭스터,"맥주,호프",4.83,374,서울 서대문구 증가로 1 103호,휴무,정보 없음,휴무,정보 없음,18:00-23:00,21:30,18:00-23:00,21:30,18:00-23:00,21:30,17:00-23:00,21:30,17:00-23:00,정보 없음,0507-1337-2448
울프,요리주점,0.0,4,서울 서대문구 연희로 153 1층 1호,17:00-25:30,00:30,17:00-25:30,00:30,17:00-25:30,00:30,17:00-25:30,00:30,17:00-25:30,00:30,17:00-25:30,00:30,17:00-25:30,00:30,0507-1383-8218
백색소음,와인,4.71,190,서울 서대문구 연희로 38-12,휴무,정보 없음,휴무,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-26:00,정보 없음,17:30-27:00,정보 없음,17:30-36:00,정보 없음,010-3099-5882
연희 38 애비뉴,요리주점,4.65,346,서울 서대문구 연희맛로 38 인준빌딩 B1,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,휴무,정보 없음,02-332-3801
코블러 연희,바(BAR),4.63,217,서울 서대문구 연희맛로 31-9 1층,19:00-27:00,02:30,19:00-27:00,02:30,19:00-27:00,02:30,19:00-27:00,02:30,19:00-27:00,02:30,19:00-27:00,02:30,19:00-27:00,02:30,010-4045-6421
192전집,요리주점,4.3,76,서울 서대문구 연희맛로 5 192전집,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,휴무,01:00,0507-1322-3664
신기루빠,요리주점,0.0,197,서울 서대문구 연희로15길 27 2층 신기루빠,휴무,정보 없음,11:30-22:30,15:00 - 17:00 브레이크타임,11:30-22:30,15:00 - 17:00 브레이크타임,11:30-22:30,15:00 - 17:00 브레이크타임,11:30-23:30,15:00 - 17:00 브레이크타임,11:30-23:30,22:00,11:30-22:30,정보 없음,0507-1328-4741
신기루빠,요리주점,0.0,197,서울 서대문구 연희로15길 27 2층 신기루빠,휴무,정보 없음,11:30-22:30,15:00 - 17:00 브레이크타임,11:30-22:30,15:00 - 17:00 브레이크타임,11:30-22:30,15:00 - 17:00 브레이크타임,11:30-23:30,15:00 - 17:00 브레이크타임,11:30-23:30,22:00,11:30-22:30,정보 없음,0507-1328-4741
연술,요리주점,0.0,224,서울 서대문구 연희맛로 17-13 2층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1361-0075
디파트먼트 이엔,와인,0.0,167,서울 서대문구 연희로 48-22 1층,13:00-23:00,17:00 - 19:00 브레이크타임,13:00-23:00,17:00 - 19:00 브레이크타임,13:00-23:00,17:00 - 19:00 브레이크타임,13:00-23:00,17:00 - 19:00 브레이크타임,13:00-24:00,23:00,정보 없음,정보 없음,16:00-20:00,17:00 - 19:00 브레이크타임,02-6205-1017
크래프트비어칸,"맥주,호프",4.77,200,서울 서대문구 연희로11길 7 B1층 크래프트비어칸,17:30-24:00,정보 없음,17:30-24:00,정보 없음,17:30-24:00,정보 없음,17:30-24:00,정보 없음,17:30-24:00,정보 없음,17:30-24:00,정보 없음,휴무,정보 없음,02-325-7903
비스트로카덴,와인,4.19,95,서울 서대문구 연희로25길 12,휴무,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,휴무,정보 없음,02-332-6362
