shop_name,shop_type,shop_star_rating,shop_address,shop_time_info,shop_contact
글로드,와인,정보 없음,서울 강남구 언주로173길 8 2층,"[['영업 중', '22:30에 라스트오더', '22시 30분에 라스트오더'], ['토', '12:00 - 24:00', '15:00 - 17:00 브레이크타임', '22:30 라스트오더'], ['일', '12:00 - 24:00', '15:00 - 17:00 브레이크타임', '22:30 라스트오더'], ['월', '정기휴무 (매주 월요일)'], ['화', '17:00 - 24:00', '22:30 라스트오더'], ['수', '17:00 - 24:00', '22:30 라스트오더'], ['목', '17:00 - 24:00', '22:30 라스트오더'], ['금', '17:00 - 24:00', '22:30 라스트오더']]",0507-1412-1050
토리키치 신논현점,이자카야,정보 없음,서울 강남구 강남대로114길 20 지하2층 2호,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료'], ['매일', '17:00 - 01:00']]",0507-1364-6178
밤별 포차 라운지 본점,요리주점,정보 없음,"서울 강남구 강남대로102길 13-8 1층, 2층","[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['매일', '15:00 - 02:00']]",0507-1350-0024
소보키 강남점,요리주점,정보 없음,서울 강남구 봉은사로18길 80 1층,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더'], ['매일', '11:30 - 24:00', '14:00 - 15:00 브레이크타임', '23:00 라스트오더']]",0507-1353-0094
숨스,요리주점,정보 없음,서울 강남구 도산대로 154-4 1층,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['토', '15:00 - 24:00'], ['일', '정기휴무 (매주 일요일)'], ['월', '15:00 - 24:00'], ['화', '15:00 - 24:00'], ['수', '15:00 - 24:00'], ['목', '15:00 - 24:00'], ['금', '15:00 - 24:00']]",0507-1420-0732
초심 압구정로데오점,요리주점,정보 없음,서울 강남구 언주로172길 55 2층,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더'], ['매일', '15:00 - 02:00', '01:00 라스트오더']]",0507-1322-2755
다이닝 목로 도산점,요리주점,4.65,서울 강남구 도산대로49길 6-7 1층 다이닝 목로 도산점,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['토', '16:00 - 02:00'], ['일', '16:00 - 24:00'], ['월', '16:00 - 24:00'], ['화', '16:00 - 24:00'], ['수', '16:00 - 24:00'], ['목', '16:00 - 24:00'], ['금', '16:00 - 02:00']]",0507-1327-5180
한추,"맥주,호프",4.19,서울 강남구 논현로175길 68,"[['영업 중', '00:30에 라스트오더', '0시 30분에 라스트오더'], ['토', '14:00 - 01:00', '00:30 라스트오더'], ['일', '정기휴무 (매주 일요일)'], ['월', '14:00 - 24:00', '23:30 라스트오더'], ['화', '14:00 - 24:00', '23:30 라스트오더'], ['수', '14:00 - 24:00', '23:30 라스트오더'], ['목', '14:00 - 24:00', '23:30 라스트오더'], ['금', '14:00 - 01:00', '00:30 라스트오더'], ['- 금토 라스트오더 1시간전'], ['수요미식회 3회, 15.02.04.', '2015년 2월 4일', ' 치킨/후라이드치킨']]",02-541-0969
양철지붕 본점,요리주점,4.42,서울 강남구 도산대로17길 4,"[['영업 중', '04:00에 영업 종료', '4시 0분에 영업 종료'], ['매일', '17:00 - 04:00']]",0507-1404-2833
획,요리주점,4.96,서울 강남구 강남대로156길 31,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료'], ['토', '17:00 - 01:00'], ['일', '17:00 - 22:30'], ['월', '정기휴무 (매주 월요일)'], ['화', '17:00 - 23:00'], ['수', '17:00 - 23:00'], ['목', '17:00 - 23:00'], ['금', '17:00 - 01:00'], ['- 매주 월요일 휴무 입니다']]",0507-1382-8332
