name,type,star_rating,review_sum,address,time_info,contact
트릴토리,이자카야,정보 없음,263,서울 마포구 망원로7길 54,"[['영업 중', '22:30에 라스트오더', '22시 30분에 라스트오더'], ['토', '17:30 - 23:30', '22:30 라스트오더'], ['일', '17:30 - 23:30', '22:30 라스트오더'], ['월', '18:30 - 23:30', '22:30 라스트오더'], ['화', '18:30 - 23:30', '22:30 라스트오더'], ['수', '18:30 - 23:30', '22:30 라스트오더'], ['목', '정기휴무 (매주 목요일)'], ['금', '18:30 - 23:30', '22:30 라스트오더']]",010-4939-7496
해금도,술집,정보 없음,63,서울 마포구 망원로 63 1층,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더'], ['토', '17:00 - 24:00', '23:00 라스트오더'], ['일', '정기휴무 (매주 일요일)'], ['월', '17:00 - 23:00', '22:00 라스트오더'], ['화', '17:00 - 23:00', '22:00 라스트오더'], ['수', '17:00 - 23:00', '22:00 라스트오더'], ['목', '17:00 - 23:00', '22:00 라스트오더'], ['금', '17:00 - 24:00', '23:00 라스트오더']]",02-336-7656
서교주담 망원,요리주점,정보 없음,508,서울 마포구 포은로 82 1층,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['토', '15:00 - 02:00'], ['일', '15:00 - 24:00'], ['월', '17:00 - 24:00'], ['화', '17:00 - 24:00'], ['수', '17:00 - 24:00'], ['목', '17:00 - 24:00'], ['금', '17:00 - 02:00']]",010-2633-7974
정주일가,요리주점,정보 없음,392,서울 마포구 포은로 66 1층 정주일가,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더'], ['토', '17:00 - 02:00', '01:00 라스트오더'], ['일', '17:00 - 02:00', '01:00 라스트오더'], ['월', '18:00 - 02:00', '01:00 라스트오더'], ['화', '18:00 - 02:00', '01:00 라스트오더'], ['수', '18:00 - 02:00', '01:00 라스트오더'], ['목', '18:00 - 02:00', '01:00 라스트오더'], ['금', '18:00 - 02:00', '01:00 라스트오더'], ['놀라운토요일 195회, 22.01.15.', '2022년 1월 15일', ' 차돌된장전골']]",0507-1396-4083
미자카야,이자카야,정보 없음,623,서울 마포구 포은로8길 5 1층,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더'], ['토', '18:00 - 24:00', '23:00 라스트오더'], ['일', '정기휴무 (매주 일요일)'], ['월(7/17)', '휴무'], ['화', '18:00 - 24:00', '23:00 라스트오더'], ['수', '18:00 - 24:00', '23:00 라스트오더'], ['목', '18:00 - 24:00', '23:00 라스트오더'], ['금', '18:00 - 24:00', '23:00 라스트오더'], ['접기']]",0507-1362-7637
너랑나랑호프,"맥주,호프",4.39,824,서울 마포구 월드컵로 61,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['토', '16:30 - 02:00'], ['일', '16:30 - 02:00'], ['월', '16:30 - 02:00'], ['화', '16:30 - 02:00'], ['수', '16:30 - 02:00'], ['목', '16:30 - 02:00'], ['금', '16:30 - 02:00'], ['식객허영만의백반기행 15회, 19.09.06.', '2019년 9월 6일', ' 육전/가자미튀김']]",010-4422-5157
복덕방내추럴막걸리집,요리주점,4.39,824,서울 마포구 포은로8길 5,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더'], ['토', '16:00 - 24:00', '23:00 라스트오더'], ['일', '16:00 - 24:00', '23:00 라스트오더'], ['월', '정기휴무 (매주 월요일)'], ['화', '정기휴무 (매주 화요일)'], ['수', '18:00 - 24:00', '23:00 라스트오더'], ['목', '18:00 - 24:00', '23:00 라스트오더'], ['금', '18:00 - 24:00', '23:00 라스트오더']]",070-8864-1414
웅장,요리주점,4.55,584,서울 마포구 포은로 73 1층,"[['영업 중', '00:00에 라스트오더', '0시 0분에 라스트오더'], ['토', '17:00 - 01:00', '00:00 라스트오더'], ['일', '정기휴무 (매주 일요일)'], ['월', '17:00 - 01:00', '00:00 라스트오더'], ['화', '17:00 - 01:00', '00:00 라스트오더'], ['수', '17:00 - 01:00', '00:00 라스트오더'], ['목', '17:00 - 01:00', '00:00 라스트오더'], ['금', '17:00 - 01:00', '00:00 라스트오더']]",0507-1308-6389
구운,이자카야,4.6,504,서울 마포구 포은로 109 102호,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더'], ['토', '18:00 - 24:00', '23:00 라스트오더'], ['일', '정기휴무 (매주 일요일)'], ['월', '18:00 - 24:00', '23:00 라스트오더'], ['화', '18:00 - 24:00', '23:00 라스트오더'], ['수', '18:00 - 24:00', '23:00 라스트오더'], ['목', '18:00 - 24:00', '23:00 라스트오더'], ['금', '18:00 - 24:00', '23:00 라스트오더']]",02-322-5545
나나,이자카야,4.6,504,서울 마포구 희우정로20길 75 1층 나나,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료', '펼쳐보기'], ['']]",0507-1348-3237
화월,이자카야,4.61,257,서울 마포구 포은로 75 1층 화월,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료'], ['토', '17:00 - 01:00'], ['일', '17:00 - 24:00'], ['월', '정기휴무 (매주 월요일)'], ['화', '18:00 - 24:00'], ['수', '18:00 - 24:00'], ['목', '18:00 - 24:00'], ['금', '18:00 - 01:00']]",0507-1359-1716
리파인 망원,요리주점,4.75,233,서울 마포구 포은로 63 형섭빌딩 2층,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['토', '17:00 - 02:00'], ['일', '17:00 - 01:00'], ['월', '17:00 - 01:00'], ['화', '정기휴무 (매주 화요일)'], ['수', '17:00 - 01:00'], ['목', '17:00 - 01:00'], ['금', '17:00 - 02:00']]",0507-1346-3024
트릴로지,이자카야,정보 없음,295,서울 마포구 방울내로11길 26 101호,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료'], ['토', '20:00 - 01:00'], ['일', '20:00 - 01:00'], ['월', '20:00 - 01:00'], ['화', '정기휴무 (매주 화요일)'], ['수', '20:00 - 01:00'], ['목', '20:00 - 01:00'], ['금', '20:00 - 01:00']]",0507-1373-1799
꿩먹고알먹고,"맥주,호프",4.23,225,서울 마포구 망원로11길 6 2층,"[['영업 중', '00:30에 라스트오더', '0시 30분에 라스트오더'], ['토', '17:30 - 01:30', '00:30 라스트오더'], ['일', '17:30 - 01:30', '00:30 라스트오더'], ['월', '17:30 - 01:30', '00:30 라스트오더'], ['화', '17:30 - 01:30', '00:30 라스트오더'], ['수', '17:30 - 01:30', '00:30 라스트오더'], ['목', '17:30 - 01:30', '00:30 라스트오더'], ['금', '17:30 - 01:30', '00:30 라스트오더']]",0507-1307-8305
망원 그곳,"맥주,호프",4.23,225,서울 마포구 월드컵로13길 19-19,"[['영업 중', '03:00에 영업 종료', '3시 0분에 영업 종료'], ['토', '18:00 - 03:00'], ['일', '18:00 - 01:00'], ['월', '18:00 - 02:00'], ['화', '18:00 - 02:00'], ['수', '18:00 - 02:00'], ['목', '18:00 - 02:00'], ['금', '18:00 - 03:00'], ['- 일요일은 01:00 마감']]",010-3745-7037
살쾡이,요리주점,4.61,614,서울 마포구 포은로 86-1 1층 103호(망원동),"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더'], ['토', '18:00 - 02:00', '01:00 라스트오더'], ['일', '18:30 - 01:00', '00:00 라스트오더'], ['월', '18:30 - 01:00', '00:00 라스트오더'], ['화', '18:30 - 01:00', '00:00 라스트오더'], ['수', '정기휴무 (매주 수요일)'], ['목', '18:30 - 01:00', '00:00 라스트오더'], ['금', '18:00 - 02:00', '01:00 라스트오더']]",0507-1358-5632
