name,type,star_rating,review_sum,address,월opening_hours,월last_order_time,화opening_hours,화last_order_time,수opening_hours,수last_order_time,목opening_hours,목last_order_time,금opening_hours,금last_order_time,토opening_hours,토last_order_time,일opening_hours,일last_order_time,contact
트릴토리,이자카야,0.0,263,서울 마포구 망원로7길 54,18:30-23:30,22:30,18:30-23:30,22:30,18:30-23:30,22:30,휴무,정보 없음,18:30-23:30,22:30,17:30-23:30,22:30,17:30-23:30,22:30,010-4939-7496
해금도,술집,0.0,63,서울 마포구 망원로 63 1층,17:00-23:00,22:00,17:00-23:00,22:00,17:00-23:00,22:00,17:00-23:00,22:00,17:00-24:00,23:00,17:00-24:00,23:00,휴무,22:00,02-336-7656
서교주담 망원,요리주점,0.0,508,서울 마포구 포은로 82 1층,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-26:00,정보 없음,15:00-26:00,정보 없음,15:00-24:00,정보 없음,010-2633-7974
정주일가,요리주점,0.0,392,서울 마포구 포은로 66 1층 정주일가,18:00-26:00,01:00,18:00-26:00,01:00,18:00-26:00,01:00,18:00-26:00,01:00,18:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,0507-1396-4083
미자카야,이자카야,0.0,623,서울 마포구 포은로8길 5 1층,정보 없음,정보 없음,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,휴무,정보 없음,0507-1362-7637
너랑나랑호프,"맥주,호프",4.39,824,서울 마포구 월드컵로 61,16:30-26:00,정보 없음,16:30-26:00,정보 없음,16:30-26:00,정보 없음,16:30-26:00,정보 없음,16:30-26:00,정보 없음,16:30-26:00,정보 없음,16:30-26:00,정보 없음,010-4422-5157
복덕방내추럴막걸리집,요리주점,4.39,824,서울 마포구 포은로8길 5,휴무,정보 없음,휴무,정보 없음,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,16:00-24:00,23:00,16:00-24:00,정보 없음,070-8864-1414
웅장,요리주점,4.55,584,서울 마포구 포은로 73 1층,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,휴무,00:00,0507-1308-6389
구운,이자카야,4.6,504,서울 마포구 포은로 109 102호,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,18:00-24:00,23:00,휴무,23:00,02-322-5545
나나,이자카야,4.6,504,서울 마포구 희우정로20길 75 1층 나나,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1348-3237
화월,이자카야,4.61,257,서울 마포구 포은로 75 1층 화월,휴무,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-24:00,정보 없음,0507-1359-1716
리파인 망원,요리주점,4.75,233,서울 마포구 포은로 63 형섭빌딩 2층,17:00-25:00,정보 없음,휴무,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-25:00,정보 없음,0507-1346-3024
트릴로지,이자카야,0.0,295,서울 마포구 방울내로11길 26 101호,20:00-25:00,정보 없음,휴무,정보 없음,20:00-25:00,정보 없음,20:00-25:00,정보 없음,20:00-25:00,정보 없음,20:00-25:00,정보 없음,20:00-25:00,정보 없음,0507-1373-1799
꿩먹고알먹고,"맥주,호프",4.23,225,서울 마포구 망원로11길 6 2층,17:30-25:30,00:30,17:30-25:30,00:30,17:30-25:30,00:30,17:30-25:30,00:30,17:30-25:30,00:30,17:30-25:30,00:30,17:30-25:30,00:30,0507-1307-8305
망원 그곳,"맥주,호프",4.23,225,서울 마포구 월드컵로13길 19-19,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-27:00,정보 없음,18:00-27:00,정보 없음,18:00-25:00,정보 없음,010-3745-7037
살쾡이,요리주점,4.61,614,서울 마포구 포은로 86-1 1층 103호(망원동),18:30-25:00,00:00,18:30-25:00,00:00,휴무,정보 없음,18:30-25:00,00:00,18:00-26:00,01:00,18:00-26:00,01:00,18:30-25:00,00:00,0507-1358-5632
월명식당,이자카야,4.7,223,서울 마포구 방울내로 66 1층,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,휴무,정보 없음,010-5415-3562
세이슈,이자카야,4.7,223,서울 마포구 희우정로16길 54-5 2층,18:00-26:00,01:00,18:00-26:00,01:00,18:00-26:00,01:00,18:00-26:00,01:00,18:00-27:00,02:00,18:00-27:00,02:00,18:00-26:00,01:00,0507-1352-4083
PNPV,술집,0.0,111,서울 마포구 포은로 63 3층,19:00-27:00,정보 없음,19:00-27:00,정보 없음,19:00-27:00,정보 없음,19:00-27:00,정보 없음,19:00-27:00,정보 없음,19:00-27:00,정보 없음,19:00-27:00,정보 없음,0507-1380-6667
휴식당,요리주점,0.0,106,서울 마포구 동교로 43-1 1층 매장전화 부재시 01046342896,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-27:00,정보 없음,17:00-28:00,정보 없음,17:00-28:00,정보 없음,17:00-27:00,정보 없음,0507-1355-2896
