shop_name,shop_type,shop_star_rating,shop_address,shop_time_info,shop_contact
신사베베 이자카야,이자카야,4.92,서울 강남구 강남대로158길 10 1층 신사베베 신사가로수길점,"[['영업 종료', '15:00에 영업 시작', '15시 0분에 영업 시작'], ['토', '15:00 - 22:30', '21:30 라스트오더'], ['일', '15:00 - 22:30', '21:30 라스트오더'], ['월', '17:00 - 22:30', '21:30 라스트오더'], ['화', '17:00 - 22:30', '21:30 라스트오더'], ['수', '17:00 - 22:30', '21:30 라스트오더'], ['목', '17:00 - 22:30', '21:30 라스트오더'], ['금', '17:00 - 22:30', '21:30 라스트오더'], ['매달 1번째 월요일 정기 휴무']]",0507-1441-0347
콜마인,와인,정보 없음,서울 강남구 압구정로50길 5-12 지하 1층 (서울특별시 강남구 신사동 661-10 지하 1층),"[['영업 중', '23:30에 라스트오더', '23시 30분에 라스트오더'], ['토', '17:00 - 24:00', '23:30 라스트오더'], ['일', '17:00 - 23:00', '22:30 라스트오더'], ['월', '정기휴무 (매주 월요일)'], ['화', '17:00 - 23:00', '22:30 라스트오더'], ['수', '17:00 - 23:00', '22:30 라스트오더'], ['목', '17:00 - 23:00', '22:30 라스트오더'], ['금', '17:00 - 24:00', '23:30 라스트오더']]",0507-1383-9779
초심 압구정로데오점,요리주점,정보 없음,서울 강남구 언주로172길 55 2층,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더'], ['매일', '15:00 - 02:00', '01:00 라스트오더']]",0507-1322-2755
다이닝 목로 도산점,요리주점,4.65,서울 강남구 도산대로49길 6-7 1층 다이닝 목로 도산점,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['토', '16:00 - 02:00'], ['일', '16:00 - 24:00'], ['월', '16:00 - 24:00'], ['화', '16:00 - 24:00'], ['수', '16:00 - 24:00'], ['목', '16:00 - 24:00'], ['금', '16:00 - 02:00']]",0507-1327-5180
한추,"맥주,호프",4.19,서울 강남구 논현로175길 68,"[['영업 중', '00:30에 라스트오더', '0시 30분에 라스트오더'], ['토', '14:00 - 01:00', '00:30 라스트오더'], ['일', '정기휴무 (매주 일요일)'], ['월', '14:00 - 24:00', '23:30 라스트오더'], ['화', '14:00 - 24:00', '23:30 라스트오더'], ['수', '14:00 - 24:00', '23:30 라스트오더'], ['목', '14:00 - 24:00', '23:30 라스트오더'], ['금', '14:00 - 01:00', '00:30 라스트오더'], ['- 금토 라스트오더 1시간전'], ['수요미식회 3회, 15.02.04.', '2015년 2월 4일', ' 치킨/후라이드치킨']]",02-541-0969
양철지붕 본점,요리주점,4.42,서울 강남구 도산대로17길 4,"[['영업 중', '04:00에 영업 종료', '4시 0분에 영업 종료'], ['매일', '17:00 - 04:00']]",0507-1404-2833
획,요리주점,4.96,서울 강남구 강남대로156길 31,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료'], ['토', '17:00 - 01:00'], ['일', '17:00 - 22:30'], ['월', '정기휴무 (매주 월요일)'], ['화', '17:00 - 23:00'], ['수', '17:00 - 23:00'], ['목', '17:00 - 23:00'], ['금', '17:00 - 01:00'], ['- 매주 월요일 휴무 입니다']]",0507-1382-8332
성수명당 신사점,요리주점,4.46,서울 강남구 강남대로160길 10,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료', '펼쳐보기']]",0507-1479-3227
압편 압구정편의점,요리주점,정보 없음,"서울 강남구 선릉로161길 15-3 103, 104호","[['영업 중', '04:00에 영업 종료', '4시 0분에 영업 종료'], ['토', '17:00 - 04:00'], ['일', '17:00 - 02:00'], ['월', '17:00 - 02:00'], ['화', '17:00 - 02:00'], ['수', '17:00 - 02:00'], ['목', '17:00 - 02:00'], ['금', '17:00 - 04:00'], ['- 리뉴얼공사로 6/7(수) 하루 쉬어갑니다 ^__^']]",02-6015-9685
뉴아게,요리주점,정보 없음,서울 강남구 선릉로155길 14 1층 뉴아게,"[['영업 중', '00:15에 라스트오더', '0시 15분에 라스트오더'], ['매일', '17:00 - 01:00', '00:15 라스트오더']]",02-511-1060
유희,요리주점,정보 없음,서울 강남구 도산대로11길 31-8 지하1층,"[['영업 중', '22:00에 라스트오더', '22시 0분에 라스트오더'], ['토', '17:00 - 23:00', '22:00 라스트오더'], ['일', '17:00 - 23:00', '22:00 라스트오더'], ['월', '18:00 - 24:00', '23:00 라스트오더'], ['화', '18:00 - 24:00', '23:00 라스트오더'], ['수', '18:00 - 24:00', '23:00 라스트오더'], ['목', '18:00 - 24:00', '23:00 라스트오더'], ['금', '18:00 - 24:00', '23:00 라스트오더'], ['- 매일 운영됩니다. 주말, 평일 영업시간이 다릅니다']]",0507-1439-9808
식스나잇,요리주점,정보 없음,서울 강남구 언주로174길 13 지하1층,"[['영업 중', '06:00에 영업 종료', '6시 0분에 영업 종료'], ['토', '19:00 - 06:00'], ['일', '19:00 - 04:00'], ['월', '19:00 - 04:00'], ['화', '19:00 - 04:00'], ['수', '19:00 - 04:00'], ['목', '19:00 - 04:00'], ['금', '19:00 - 06:00'], ['- 인스타그램 또는 캐치테이블도 예약 가능합니다']]",010-5089-5855
진도켄 이자카야,이자카야,정보 없음,서울 강남구 도산대로15길 9 지하 1층,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['토', '17:30 - 24:00'], ['일', '17:30 - 24:00'], ['월', '정기휴무 (매주 월요일)'], ['화', '17:30 - 24:00'], ['수', '17:30 - 24:00'], ['목', '17:30 - 24:00'], ['금', '17:30 - 24:00']]",0507-1330-5614
안주집,요리주점,4.74,서울 강남구 도산대로11길 34 지하1층,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['토', '14:00 - 02:00'], ['일', '14:00 - 24:00'], ['월', '정기휴무 (매주 월요일)'], ['화', '11:00 - 24:00', '14:00 - 16:00 브레이크타임'], ['수', '11:00 - 24:00', '14:00 - 16:00 브레이크타임'], ['목', '11:00 - 24:00', '14:00 - 16:00 브레이크타임'], ['금', '11:00 - 02:00', '14:00 - 16:00 브레이크타임']]",0507-1339-5357
섭식당,요리주점,정보 없음,서울 강남구 선릉로157길 29 2층,"[['영업 중', '04:00에 영업 종료', '4시 0분에 영업 종료'], ['토', '18:00 - 04:00'], ['일', '18:00 - 01:00'], ['월', '정기휴무 (매주 월요일)'], ['화', '18:00 - 02:00'], ['수', '18:00 - 02:00'], ['목', '18:00 - 02:00'], ['금', '18:00 - 04:00']]",0507-1437-9329
올리버바이쇼텐,이자카야,정보 없음,서울 강남구 선릉로157길 25 2층,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료'], ['매일', '17:00 - 01:00']]",070-4204-8088
Lu307 이자카야,이자카야,4.83,서울 강남구 압구정로10길 30-7 1층,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료'], ['토', '17:00 - 01:00'], ['일', '17:00 - 24:00'], ['월', '17:30 - 24:00'], ['화', '17:30 - 24:00'], ['수', '17:30 - 24:00'], ['목', '17:30 - 24:00'], ['금', '17:00 - 01:00'], ['07/17 휴무']]",02-6205-3007
