shop_name,shop_type,shop_star_rating,shop_address,shop_time_info,shop_contact
신촌정직한족발,"족발,보쌈",정보 없음,서울 서대문구 연세로7안길 51 1층,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더'], ['매일', '16:00 - 02:00', '01:00 라스트오더']]",0507-1365-4346
룸의정석 신촌점,요리주점,정보 없음,서울 서대문구 연세로5가길 8-3 2층,"[['영업 중', '05:00에 영업 종료', '5시 0분에 영업 종료'], ['화', '17:00 - 05:00'], ['수', '17:00 - 05:00'], ['목', '17:00 - 05:00'], ['금', '17:00 - 06:00'], ['토', '17:00 - 06:00'], ['일', '17:00 - 05:00'], ['월', '17:00 - 05:00']]",070-8839-0808
브릭스5221맥주 신촌점,"맥주,호프",4.65,서울 서대문구 연세로9길 10-3,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['화', '17:00 - 24:00'], ['수', '17:00 - 24:00'], ['목', '17:00 - 24:00'], ['금', '16:00 - 01:00'], ['토', '16:00 - 01:00'], ['일', '16:00 - 01:00'], ['월', '정기휴무 (매주 월요일)']]",0507-1335-7132
쿠시노주방,이자카야,4.65,서울 서대문구 연세로9길 10-3,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료', '펼쳐보기']]",0507-1335-7132
주무대,요리주점,4.65,서울 서대문구 연세로9길 10-3,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['화', '17:00 - 24:00'], ['수', '17:00 - 24:00'], ['목', '17:00 - 24:00'], ['금', '16:00 - 01:00'], ['토', '16:00 - 01:00'], ['일', '16:00 - 01:00'], ['월', '정기휴무 (매주 월요일)']]",0507-1335-7132
안테이쿠,이자카야,4.65,서울 서대문구 연세로9길 10-3,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료', '펼쳐보기']]",0507-1335-7132
찰리주막 신촌점,요리주점,4.65,서울 서대문구 연세로9길 10-3,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['화', '17:00 - 24:00'], ['수', '17:00 - 24:00'], ['목', '17:00 - 24:00'], ['금', '16:00 - 01:00'], ['토', '16:00 - 01:00'], ['일', '16:00 - 01:00'], ['월', '정기휴무 (매주 월요일)']]",0507-1335-7132
집시포차,"맥주,호프",4.65,서울 서대문구 연세로9길 10-3,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료', '펼쳐보기']]",0507-1335-7132
밤말,술집,4.65,서울 서대문구 연세로9길 10-3,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['화', '17:00 - 24:00'], ['수', '17:00 - 24:00'], ['목', '17:00 - 24:00'], ['금', '16:00 - 01:00'], ['토', '16:00 - 01:00'], ['일', '16:00 - 01:00'], ['월', '정기휴무 (매주 월요일)']]",0507-1335-7132
매거진 스탠딩,"맥주,호프",4.65,서울 서대문구 연세로9길 10-3,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료', '펼쳐보기']]",0507-1335-7132
