shop_name,shop_type,shop_star_rating,shop_address,shop_open_info,shop_contact
신촌정직한족발,"족발,보쌈",정보 없음,서울 서대문구 연세로7안길 51 1층,"[('월', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('화', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('수', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('목', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('금', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('토', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('일', {'open_time': '정보 없음', 'last_order_time': '정보 없음'})]",0507-1365-4346
룸의정석 신촌점,요리주점,정보 없음,서울 서대문구 연세로5가길 8-3 2층,"[('월', {'open_time': '17:00 - 05:00', 'last_order_time': '정보 없음'}), ('화', {'open_time': '17:00 - 05:00', 'last_order_time': '정보 없음'}), ('수', {'open_time': '17:00 - 05:00', 'last_order_time': '정보 없음'}), ('목', {'open_time': '17:00 - 05:00', 'last_order_time': '정보 없음'}), ('금', {'open_time': '17:00 - 06:00', 'last_order_time': '정보 없음'}), ('토', {'open_time': '17:00 - 06:00', 'last_order_time': '정보 없음'}), ('일', {'open_time': '17:00 - 05:00', 'last_order_time': '정보 없음'})]",070-8839-0808
쿠시노주방,이자카야,4.39,서울 마포구 동교로 218-1 지하1층 쿠시노주방,"[('월', {'open_time': '16:00 - 01:00', 'last_order_time': '23:30'}), ('화', {'open_time': '16:00 - 01:00', 'last_order_time': '23:30'}), ('수', {'open_time': '16:00 - 01:00', 'last_order_time': '23:30'}), ('목', {'open_time': '16:00 - 01:00', 'last_order_time': '23:30'}), ('금', {'open_time': '16:00 - 02:00', 'last_order_time': '00:30'}), ('토', {'open_time': '15:00 - 02:00', 'last_order_time': '00:30'}), ('일', {'open_time': '16:00 - 01:00', 'last_order_time': '23:30'})]",010-7245-0503
주무대,요리주점,4.39,서울 마포구 동교로 218-1 지하1층 쿠시노주방,"[('월', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('화', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('수', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('목', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('금', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('토', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('일', {'open_time': '정보 없음', 'last_order_time': '정보 없음'})]",010-7245-0503
브릭스5221맥주 신촌점,"맥주,호프",4.39,서울 마포구 동교로 218-1 지하1층 쿠시노주방,"[('월', {'open_time': '16:00 - 01:00', 'last_order_time': '23:30'}), ('화', {'open_time': '16:00 - 01:00', 'last_order_time': '23:30'}), ('수', {'open_time': '16:00 - 01:00', 'last_order_time': '23:30'}), ('목', {'open_time': '16:00 - 01:00', 'last_order_time': '23:30'}), ('금', {'open_time': '16:00 - 02:00', 'last_order_time': '00:30'}), ('토', {'open_time': '15:00 - 02:00', 'last_order_time': '00:30'}), ('일', {'open_time': '16:00 - 01:00', 'last_order_time': '23:30'})]",010-7245-0503
안테이쿠,이자카야,4.39,서울 마포구 동교로 218-1 지하1층 쿠시노주방,"[('월', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('화', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('수', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('목', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('금', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('토', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('일', {'open_time': '정보 없음', 'last_order_time': '정보 없음'})]",010-7245-0503
찰리주막 신촌점,요리주점,4.39,서울 마포구 동교로 218-1 지하1층 쿠시노주방,"[('월', {'open_time': '16:00 - 01:00', 'last_order_time': '23:30'}), ('화', {'open_time': '16:00 - 01:00', 'last_order_time': '23:30'}), ('수', {'open_time': '16:00 - 01:00', 'last_order_time': '23:30'}), ('목', {'open_time': '16:00 - 01:00', 'last_order_time': '23:30'}), ('금', {'open_time': '16:00 - 02:00', 'last_order_time': '00:30'}), ('토', {'open_time': '15:00 - 02:00', 'last_order_time': '00:30'}), ('일', {'open_time': '16:00 - 01:00', 'last_order_time': '23:30'})]",010-7245-0503
집시포차,"맥주,호프",4.39,서울 마포구 동교로 218-1 지하1층 쿠시노주방,"[('월', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('화', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('수', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('목', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('금', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('토', {'open_time': '정보 없음', 'last_order_time': '정보 없음'}), ('일', {'open_time': '정보 없음', 'last_order_time': '정보 없음'})]",010-7245-0503
밤말,술집,4.39,서울 마포구 동교로 218-1 지하1층 쿠시노주방,"[('월', {'open_time': '16:00 - 01:00', 'last_order_time': '23:30'}), ('화', {'open_time': '16:00 - 01:00', 'last_order_time': '23:30'}), ('수', {'open_time': '16:00 - 01:00', 'last_order_time': '23:30'}), ('목', {'open_time': '16:00 - 01:00', 'last_order_time': '23:30'}), ('금', {'open_time': '16:00 - 02:00', 'last_order_time': '00:30'}), ('토', {'open_time': '15:00 - 02:00', 'last_order_time': '00:30'}), ('일', {'open_time': '16:00 - 01:00', 'last_order_time': '23:30'})]",010-7245-0503
매거진 스탠딩,"맥주,호프",4.71,"서울 서대문구 연세로7길 34-6 1,2층","[('월', {'open_time': '휴무', 'last_order_time': '정보 없음'}), ('화', {'open_time': '16:00 - 24:00', 'last_order_time': '23:30'}), ('수', {'open_time': '16:00 - 24:00', 'last_order_time': '23:30'}), ('목', {'open_time': '16:00 - 24:00', 'last_order_time': '23:30'}), ('금', {'open_time': '14:00 - 01:00', 'last_order_time': '00:30'}), ('토', {'open_time': '14:00 - 01:00', 'last_order_time': '00:30'}), ('일', {'open_time': '14:00 - 24:00', 'last_order_time': '23:30'})]",0507-1360-1026
