shop_name,shop_type,shop_star_rating,shop_address,shop_time_info,shop_contact
청화접,요리주점,정보 없음,서울 마포구 동교로 268 지하1층 청화접,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더'], ['화', '17:00 - 24:00', '23:00 라스트오더'], ['수', '17:00 - 24:00', '23:00 라스트오더'], ['목', '17:00 - 24:00', '23:00 라스트오더'], ['금', '17:00 - 01:00', '00:00 라스트오더'], ['토', '17:00 - 01:00', '00:00 라스트오더'], ['일', '17:00 - 24:00', '23:00 라스트오더'], ['월', '17:00 - 24:00', '23:00 라스트오더']]",0507-1333-6580
풍년숯불갈비,"육류,고기요리",4.41,서울 마포구 동교로 264,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['매일', '12:00 - 02:00']]",0507-1378-5818
청화접,요리주점,4.41,서울 마포구 동교로 264,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료', '펼쳐보기']]",0507-1378-5818
란콰이진 연남본점,요리주점,4.89,서울 마포구 성미산로29안길 27-6 1층,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더'], ['화', '17:00 - 23:30', '23:00 라스트오더'], ['수', '17:00 - 23:30', '23:00 라스트오더'], ['목', '17:00 - 23:30', '23:00 라스트오더'], ['금', '17:00 - 23:30', '23:00 라스트오더'], ['토', '16:00 - 01:00', '00:30 라스트오더'], ['일', '16:00 - 23:30', '23:00 라스트오더'], ['월', '정기휴무 (매주 월요일)'], ['07/25 휴무'], ['- 배달 및 포장은 24시 까지 운영합니다.'], ['생방송투데이 2399회, 19.08.26.', '2019년 8월 26일', ' 목화솜탕수육/홍콩식바지락볶음', '펼쳐보기'], ['']]",0507-1439-0774
꼬요식당,요리주점,4.89,서울 마포구 성미산로29안길 27-6 1층,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더', '펼쳐보기'], [''], [''], ['휴무일', '07/25'], ['생방송투데이 2399회, 19.08.26.', '2019년 8월 26일', ' 목화솜탕수육/홍콩식바지락볶음', '펼쳐보기'], ['']]",정보 없음
화담,요리주점,4.83,서울 마포구 동교로 275-1 꼬요식당,"[['영업 중', '00:00에 라스트오더', '0시 0분에 라스트오더'], ['화', '17:00 - 01:00', '00:00 라스트오더'], ['수', '17:00 - 01:00', '00:00 라스트오더'], ['목', '17:00 - 01:00', '00:00 라스트오더'], ['금', '17:00 - 02:00', '01:00 라스트오더'], ['토', '17:00 - 02:00', '01:00 라스트오더'], ['일', '17:00 - 01:00', '00:00 라스트오더'], ['월', '17:00 - 01:00', '00:00 라스트오더']]",0507-1410-8917
소주방,요리주점,4.5,"서울 마포구 동교로 266-12 1층,2층","[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['화', '17:00 - 24:00'], ['수', '17:00 - 24:00'], ['목', '17:00 - 24:00'], ['금', '17:00 - 02:00'], ['토', '16:00 - 02:00'], ['일', '17:00 - 24:00'], ['월', '17:00 - 24:00']]",0507-1351-0896
전주상회,요리주점,4.5,"서울 마포구 동교로 266-12 1층,2층","[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료', '펼쳐보기']]",0507-1351-0896
요코쵸,이자카야,4.5,서울 마포구 성미산로 161-15 1층,"[['영업 중', '22:50에 라스트오더', '22시 50분에 라스트오더'], ['매일', '17:00 - 23:50', '22:50 라스트오더']]",02-324-8875
무채색,요리주점,4.5,서울 마포구 성미산로 161-15 1층,"[['영업 중', '22:50에 라스트오더', '22시 50분에 라스트오더', '펼쳐보기']]",02-324-8875
연주방,요리주점,4.51,서울 마포구 동교로46길 7 주차장 쪽 반지층,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['화', '17:00 - 24:00'], ['수', '17:00 - 24:00'], ['목', '17:00 - 24:00'], ['금', '16:00 - 01:00'], ['토', '16:00 - 01:00'], ['일', '16:00 - 24:00'], ['월', '17:00 - 24:00'], ['- 휴무는 따로 공지 할게요']]",010-4346-4026
