shop_name,shop_type,shop_star_rating,shop_address,월opening_hours,월last_order_time,화opening_hours,화last_order_time,수opening_hours,수last_order_time,목opening_hours,목last_order_time,금opening_hours,금last_order_time,토opening_hours,토last_order_time,일opening_hours,일last_order_time,shop_contact
청화접,요리주점,정보 없음,서울 마포구 동교로 268 지하1층 청화접,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-24:00,23:00,0507-1333-6580
풍년숯불갈비,"육류,고기요리",4.41,서울 마포구 동교로 264,12:00-26:00,정보 없음,12:00-26:00,정보 없음,12:00-26:00,정보 없음,12:00-26:00,정보 없음,12:00-26:00,정보 없음,12:00-26:00,정보 없음,12:00-26:00,정보 없음,0507-1378-5818
청화접,요리주점,4.41,서울 마포구 동교로 264,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1378-5818
란콰이진 연남본점,요리주점,4.89,서울 마포구 성미산로29안길 27-6 1층,휴무,정보 없음,17:00-23:30,23:00,17:00-23:30,23:00,17:00-23:30,23:00,17:00-23:30,23:00,16:00-25:00,00:30,16:00-23:30,정보 없음,0507-1439-0774
꼬요식당,요리주점,4.89,서울 마포구 성미산로29안길 27-6 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
화담,요리주점,4.83,서울 마포구 동교로 275-1 꼬요식당,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-25:00,00:00,0507-1410-8917
소주방,요리주점,4.5,"서울 마포구 동교로 266-12 1층,2층",17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-26:00,정보 없음,16:00-26:00,정보 없음,17:00-24:00,정보 없음,0507-1351-0896
전주상회,요리주점,4.5,"서울 마포구 동교로 266-12 1층,2층",정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1351-0896
요코쵸,이자카야,4.5,서울 마포구 성미산로 161-15 1층,17:00-23:50,22:50,17:00-23:50,22:50,17:00-23:50,22:50,17:00-23:50,22:50,17:00-23:50,22:50,17:00-23:50,22:50,17:00-23:50,22:50,02-324-8875
무채색,요리주점,4.5,서울 마포구 성미산로 161-15 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,02-324-8875
