shop_name,shop_type,shop_star_rating,shop_address,shop_time_info,shop_contact
야반도주,요리주점,정보 없음,서울 마포구 연희로1길 45-4 . 지1층,"[['영업 종료', '17:00에 영업 시작', '17시 0분에 영업 시작'], ['일', '17:00 - 24:00', '23:30 라스트오더'], ['월', '17:00 - 24:00', '23:30 라스트오더'], ['화', '17:00 - 24:00', '23:30 라스트오더'], ['수', '17:00 - 24:00', '23:30 라스트오더'], ['목', '17:00 - 24:00', '23:30 라스트오더'], ['금', '17:00 - 24:00', '23:30 라스트오더'], ['토', '17:00 - 24:00', '23:30 라스트오더'], ['매달 1번째 월요일 정기 휴무'], ['- 설날, 추석 당일 휴무']]",0507-1419-1309
이자카야라쿤,이자카야,4.75,서울 마포구 성미산로29안길 29 라쿤,"[['영업 종료', '12:00에 영업 시작', '12시 0분에 영업 시작'], ['일', '12:00 - 24:00', '23:00 라스트오더'], ['월', '12:00 - 24:00', '23:00 라스트오더'], ['화', '12:00 - 24:00', '23:00 라스트오더'], ['수', '12:00 - 24:00', '23:00 라스트오더'], ['목', '12:00 - 24:00', '23:00 라스트오더'], ['금', '12:00 - 24:00', '23:00 라스트오더'], ['토', '12:00 - 24:00', '23:00 라스트오더'], ['- 12~17시까지는 캐치테이블로 코스예약으로만 진행됩니다']]",0507-1315-0849
청화접,요리주점,4.75,서울 마포구 성미산로29안길 29 라쿤,"[['영업 종료', '17:00에 영업 시작', '17시 0분에 영업 시작', '펼쳐보기']]",0507-1333-6580
란콰이진 연남본점,요리주점,4.89,서울 마포구 성미산로29안길 27-6 1층,[],정보 없음
꼬요식당,요리주점,4.89,서울 마포구 동교로 275-1 꼬요식당,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더'], ['토', '17:00 - 02:00', '01:00 라스트오더'], ['일', '17:00 - 01:00', '00:00 라스트오더'], ['월', '17:00 - 01:00', '00:00 라스트오더'], ['화', '17:00 - 01:00', '00:00 라스트오더'], ['수', '17:00 - 01:00', '00:00 라스트오더'], ['목', '17:00 - 01:00', '00:00 라스트오더'], ['금', '17:00 - 02:00', '01:00 라스트오더']]",0507-1410-8917
화담,요리주점,4.83,서울 마포구 동교로 275-1 꼬요식당,"[['영업 종료', '17:00에 영업 시작', '17시 0분에 영업 시작', '펼쳐보기']]",0507-1407-9076
소주방,요리주점,4.5,"서울 마포구 동교로 266-12 1층,2층","[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료', '펼쳐보기']]",0507-1351-0896
요코쵸,이자카야,4.5,"서울 마포구 동교로 266-12 1층,2층","[['영업 종료', '17:00에 영업 시작', '17시 0분에 영업 시작', '펼쳐보기']]",02-324-8875
전주상회,요리주점,4.5,서울 마포구 성미산로 161-15 1층,"[['영업 중', '02:00에 라스트오더', '2시 0분에 라스트오더', '펼쳐보기']]",0507-1397-9777
연주방,요리주점,4.46,서울 마포구 성미산로 195 106호,"[['영업 종료', '16:00에 영업 시작', '16시 0분에 영업 시작', '펼쳐보기'], ['']]",010-4346-4026
