shop_name,shop_type,shop_star_rating,shop_address,shop_time_info,shop_contact
모꼬지,요리주점,정보 없음,경기 고양시 일산동구 강석로 33 대우이안 106호 모꼬지,"[['오늘 휴무', '매주 월요일 휴무', '매주 월요일 휴무'], ['월', '정기휴무 (매주 월요일)'], ['화', '17:00 - 01:00'], ['수', '17:00 - 01:00'], ['목', '17:00 - 01:00'], ['금', '17:00 - 01:00'], ['토', '17:00 - 01:00'], ['일', '17:00 - 01:00']]",0507-1338-9766
미담화 밤리단길점,이자카야,정보 없음,경기 고양시 일산동구 대산로 20 메디컬프라자 1층 101호,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료'], ['월', '17:00 - 01:00'], ['화', '17:00 - 01:00'], ['수', '정기휴무 (매주 수요일)'], ['목', '17:00 - 01:00'], ['금', '17:00 - 01:00'], ['토', '17:00 - 01:00'], ['일', '16:00 - 24:00']]",0507-1384-1424
리파인 일산,요리주점,정보 없음,경기 고양시 일산동구 무궁화로 32-34 라페스타C 1층 126호,"[['영업 중', '00:00에 라스트오더', '0시 0분에 라스트오더'], ['월', '17:00 - 01:00', '00:00 라스트오더'], ['화', '17:00 - 01:00', '00:00 라스트오더'], ['수', '17:00 - 01:00', '00:00 라스트오더'], ['목', '17:00 - 01:00', '00:00 라스트오더'], ['금', '17:00 - 02:00', '01:00 라스트오더'], ['토', '17:00 - 02:00', '01:00 라스트오더'], ['일', '17:00 - 01:00', '00:00 라스트오더'], ['- 공휴일 전날은 02:00까지 영업합니다.']]",0507-1432-3412
구각 밤리단길 본점,요리주점,4.8,경기 고양시 일산동구 일산로441번길 87-7 1층 구각,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['월', '17:00 - 24:00'], ['화', '17:00 - 24:00'], ['수', '정기휴무 (매주 수요일)'], ['목', '17:00 - 24:00'], ['금', '17:00 - 24:00'], ['토', '17:00 - 24:00'], ['일', '17:00 - 24:00']]",0507-1332-9377
운도,요리주점,4.8,경기 고양시 일산동구 일산로441번길 87-7 1층 구각,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료', '펼쳐보기']]",0507-1332-9377
반야관 밤리단길점,요리주점,4.8,경기 고양시 일산동구 일산로441번길 87-7 1층 구각,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['월', '17:00 - 24:00'], ['화', '17:00 - 24:00'], ['수', '정기휴무 (매주 수요일)'], ['목', '17:00 - 24:00'], ['금', '17:00 - 24:00'], ['토', '17:00 - 24:00'], ['일', '17:00 - 24:00']]",0507-1332-9377
정발가옥 밤리단길본점,요리주점,4.8,경기 고양시 일산동구 일산로441번길 87-7 1층 구각,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료', '펼쳐보기']]",0507-1332-9377
코주방,요리주점,4.8,경기 고양시 일산동구 일산로441번길 87-7 1층 구각,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['월', '17:00 - 24:00'], ['화', '17:00 - 24:00'], ['수', '정기휴무 (매주 수요일)'], ['목', '17:00 - 24:00'], ['금', '17:00 - 24:00'], ['토', '17:00 - 24:00'], ['일', '17:00 - 24:00']]",0507-1332-9377
노상가는술집,요리주점,4.8,경기 고양시 일산동구 일산로441번길 87-7 1층 구각,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료', '펼쳐보기']]",0507-1332-9377
이자카야 이로,이자카야,4.8,경기 고양시 일산동구 일산로441번길 87-7 1층 구각,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['월', '17:00 - 24:00'], ['화', '17:00 - 24:00'], ['수', '정기휴무 (매주 수요일)'], ['목', '17:00 - 24:00'], ['금', '17:00 - 24:00'], ['토', '17:00 - 24:00'], ['일', '17:00 - 24:00']]",0507-1332-9377
모꼬지,요리주점,4.92,"경기 고양시 일산동구 무궁화로 37 노블리제빌딩 1층 101호, 이로","[['오늘 휴무', '07/10 휴무', '07/10 휴무'], ['월(7/10)', '휴무'], ['화', '18:00 - 01:00', '00:00 라스트오더'], ['수', '18:00 - 01:00', '00:00 라스트오더'], ['목', '18:00 - 01:00', '00:00 라스트오더'], ['금', '18:00 - 01:00', '00:00 라스트오더'], ['토', '18:00 - 01:00', '00:00 라스트오더'], ['일', '정기휴무 (매주 일요일)']]",0507-1325-7904
미담화 밤리단길점,이자카야,4.92,"경기 고양시 일산동구 무궁화로 37 노블리제빌딩 1층 101호, 이로","[['오늘 휴무', '07/10 휴무', '07/10 휴무', '펼쳐보기']]",0507-1325-7904
리파인 일산,요리주점,정보 없음,경기 고양시 일산동구 무궁화로 32-34 라페스타C 1층 126호,"[['영업 중', '00:00에 라스트오더', '0시 0분에 라스트오더'], ['월', '17:00 - 01:00', '00:00 라스트오더'], ['화', '17:00 - 01:00', '00:00 라스트오더'], ['수', '17:00 - 01:00', '00:00 라스트오더'], ['목', '17:00 - 01:00', '00:00 라스트오더'], ['금', '17:00 - 02:00', '01:00 라스트오더'], ['토', '17:00 - 02:00', '01:00 라스트오더'], ['일', '17:00 - 01:00', '00:00 라스트오더'], ['- 공휴일 전날은 02:00까지 영업합니다.']]",0507-1432-3412
구각 밤리단길 본점,요리주점,4.8,경기 고양시 일산동구 일산로441번길 87-7 1층 구각,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['월', '17:00 - 24:00'], ['화', '17:00 - 24:00'], ['수', '정기휴무 (매주 수요일)'], ['목', '17:00 - 24:00'], ['금', '17:00 - 24:00'], ['토', '17:00 - 24:00'], ['일', '17:00 - 24:00']]",0507-1332-9377
운도,요리주점,4.8,경기 고양시 일산동구 일산로441번길 87-7 1층 구각,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료', '펼쳐보기']]",0507-1332-9377
반야관 밤리단길점,요리주점,정보 없음,경기 고양시 일산동구 대산로11번길 14-4 1층,"[['오늘 휴무', '매주 월요일 휴무', '매주 월요일 휴무'], ['월', '정기휴무 (매주 월요일)'], ['화', '17:00 - 24:00', '23:00 라스트오더'], ['수', '17:00 - 24:00', '23:00 라스트오더'], ['목', '17:00 - 24:00', '23:00 라스트오더'], ['금', '17:00 - 24:00', '23:00 라스트오더'], ['토', '17:00 - 24:00', '23:00 라스트오더'], ['일', '17:00 - 23:00', '22:00 라스트오더']]",0507-1320-6688
정발가옥 밤리단길본점,요리주점,4.77,경기 고양시 일산동구 대산로11번길 40-2,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료'], ['월', '17:00 - 01:00'], ['화', '정기휴무 (매주 화요일)'], ['수', '17:00 - 01:00'], ['목', '17:00 - 01:00'], ['금', '17:00 - 01:00'], ['토', '16:00 - 01:00'], ['일', '16:00 - 01:00']]",0507-1362-8220
코주방,요리주점,4.77,경기 고양시 일산동구 대산로11번길 40-2,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료', '펼쳐보기']]",0507-1362-8220
노상가는술집,요리주점,4.77,경기 고양시 일산동구 대산로11번길 40-2,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료'], ['월', '17:00 - 01:00'], ['화', '정기휴무 (매주 화요일)'], ['수', '17:00 - 01:00'], ['목', '17:00 - 01:00'], ['금', '17:00 - 01:00'], ['토', '16:00 - 01:00'], ['일', '16:00 - 01:00']]",0507-1362-8220
이자카야 이로,이자카야,4.77,경기 고양시 일산동구 대산로11번길 40-2,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료', '펼쳐보기']]",0507-1362-8220
토모루,이자카야,4.92,"경기 고양시 일산동구 무궁화로 37 노블리제빌딩 1층 101호, 이로","[['오늘 휴무', '07/10 휴무', '07/10 휴무'], ['월(7/10)', '휴무'], ['화', '18:00 - 01:00', '00:00 라스트오더'], ['수', '18:00 - 01:00', '00:00 라스트오더'], ['목', '18:00 - 01:00', '00:00 라스트오더'], ['금', '18:00 - 01:00', '00:00 라스트오더'], ['토', '18:00 - 01:00', '00:00 라스트오더'], ['일', '정기휴무 (매주 일요일)']]",0507-1325-7904
제니스 산전수전,요리주점,4.92,"경기 고양시 일산동구 무궁화로 37 노블리제빌딩 1층 101호, 이로","[['오늘 휴무', '07/10 휴무', '07/10 휴무', '펼쳐보기']]",0507-1325-7904
최상위 밤리단길점,요리주점,4.92,"경기 고양시 일산동구 무궁화로 37 노블리제빌딩 1층 101호, 이로","[['오늘 휴무', '07/10 휴무', '07/10 휴무'], ['월(7/10)', '휴무'], ['화', '18:00 - 01:00', '00:00 라스트오더'], ['수', '18:00 - 01:00', '00:00 라스트오더'], ['목', '18:00 - 01:00', '00:00 라스트오더'], ['금', '18:00 - 01:00', '00:00 라스트오더'], ['토', '18:00 - 01:00', '00:00 라스트오더'], ['일', '정기휴무 (매주 일요일)']]",0507-1325-7904
칸쿤낭만비어 풍동점,"맥주,호프",4.92,"경기 고양시 일산동구 무궁화로 37 노블리제빌딩 1층 101호, 이로","[['오늘 휴무', '07/10 휴무', '07/10 휴무', '펼쳐보기']]",0507-1325-7904
손씨포차,포장마차,4.92,"경기 고양시 일산동구 무궁화로 37 노블리제빌딩 1층 101호, 이로","[['오늘 휴무', '07/10 휴무', '07/10 휴무'], ['월(7/10)', '휴무'], ['화', '18:00 - 01:00', '00:00 라스트오더'], ['수', '18:00 - 01:00', '00:00 라스트오더'], ['목', '18:00 - 01:00', '00:00 라스트오더'], ['금', '18:00 - 01:00', '00:00 라스트오더'], ['토', '18:00 - 01:00', '00:00 라스트오더'], ['일', '정기휴무 (매주 일요일)']]",0507-1325-7904
수라포차,요리주점,4.92,"경기 고양시 일산동구 무궁화로 37 노블리제빌딩 1층 101호, 이로","[['오늘 휴무', '07/10 휴무', '07/10 휴무', '펼쳐보기']]",0507-1325-7904
청연,요리주점,4.92,"경기 고양시 일산동구 무궁화로 37 노블리제빌딩 1층 101호, 이로","[['오늘 휴무', '07/10 휴무', '07/10 휴무'], ['월(7/10)', '휴무'], ['화', '18:00 - 01:00', '00:00 라스트오더'], ['수', '18:00 - 01:00', '00:00 라스트오더'], ['목', '18:00 - 01:00', '00:00 라스트오더'], ['금', '18:00 - 01:00', '00:00 라스트오더'], ['토', '18:00 - 01:00', '00:00 라스트오더'], ['일', '정기휴무 (매주 일요일)']]",0507-1325-7904
용용선생 일산라페스타점,요리주점,4.92,"경기 고양시 일산동구 무궁화로 37 노블리제빌딩 1층 101호, 이로","[['오늘 휴무', '07/10 휴무', '07/10 휴무', '펼쳐보기']]",0507-1325-7904
요인,이자카야,4.92,"경기 고양시 일산동구 무궁화로 37 노블리제빌딩 1층 101호, 이로","[['오늘 휴무', '07/10 휴무', '07/10 휴무'], ['월(7/10)', '휴무'], ['화', '18:00 - 01:00', '00:00 라스트오더'], ['수', '18:00 - 01:00', '00:00 라스트오더'], ['목', '18:00 - 01:00', '00:00 라스트오더'], ['금', '18:00 - 01:00', '00:00 라스트오더'], ['토', '18:00 - 01:00', '00:00 라스트오더'], ['일', '정기휴무 (매주 일요일)']]",0507-1325-7904
퓨전포차주접N,"맥주,호프",4.92,"경기 고양시 일산동구 무궁화로 37 노블리제빌딩 1층 101호, 이로","[['오늘 휴무', '07/10 휴무', '07/10 휴무', '펼쳐보기']]",0507-1325-7904
"쉼, 어묵 그리고 한잔 술 백석점","오뎅,꼬치",4.35,경기 고양시 일산동구 위시티로 55-14 1층,"[['영업 중', '01:15에 라스트오더', '1시 15분에 라스트오더'], ['월', '16:30 - 02:00', '01:15 라스트오더'], ['화', '16:30 - 02:00', '01:15 라스트오더'], ['수', '16:30 - 02:00', '01:15 라스트오더'], ['목', '16:30 - 02:00', '01:15 라스트오더'], ['금', '16:30 - 02:00', '01:15 라스트오더'], ['토', '16:30 - 02:00', '01:15 라스트오더'], ['일', '정기휴무 (매주 일요일)']]",031-965-5815
