shop_name,shop_type,shop_star_rating,shop_address,월opening_hours,월last_order_time,화opening_hours,화last_order_time,수opening_hours,수last_order_time,목opening_hours,목last_order_time,금opening_hours,금last_order_time,토opening_hours,토last_order_time,일opening_hours,일last_order_time,shop_contact
보틀앤스틱스,와인,4.95,경기 고양시 일산동구 무궁화로141번길 25-9 1층,휴무,정보 없음,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,정보 없음,0507-1408-7467
황제카야,이자카야,4.95,경기 고양시 일산동구 무궁화로141번길 25-9 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1408-7467
리파인 일산,요리주점,4.95,경기 고양시 일산동구 무궁화로141번길 25-9 1층,휴무,정보 없음,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,정보 없음,0507-1408-7467
구각 밤리단길 본점,요리주점,4.95,경기 고양시 일산동구 무궁화로141번길 25-9 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1408-7467
운도,요리주점,4.95,경기 고양시 일산동구 무궁화로141번길 25-9 1층,휴무,정보 없음,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,정보 없음,0507-1408-7467
반야관 밤리단길점,요리주점,4.95,경기 고양시 일산동구 무궁화로141번길 25-9 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1408-7467
정발가옥 밤리단길본점,요리주점,4.95,경기 고양시 일산동구 무궁화로141번길 25-9 1층,휴무,정보 없음,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,정보 없음,0507-1408-7467
코주방,요리주점,4.53,경기 고양시 일산동구 대산로11번길 5-20 1층,정보 없음,정보 없음,17:00-24:00,22:30,17:00-24:00,22:30,17:00-24:00,22:30,17:00-24:00,22:30,16:00-24:00,22:30,16:00-24:00,정보 없음,0507-1434-5201
이자카야 이로,이자카야,4.53,경기 고양시 일산동구 대산로11번길 5-20 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1434-5201
노상가는술집,요리주점,4.53,경기 고양시 일산동구 대산로11번길 5-20 1층,정보 없음,정보 없음,17:00-24:00,22:30,17:00-24:00,22:30,17:00-24:00,22:30,17:00-24:00,22:30,16:00-24:00,22:30,16:00-24:00,정보 없음,0507-1434-5201
보틀앤스틱스,와인,4.36,경기 고양시 일산동구 중앙로1261번길 57 대명레이크프라자1차 3층 303호 노상가는술집,16:30-26:00,01:00,16:30-26:00,01:00,16:30-26:00,01:00,16:30-26:00,01:00,16:30-26:00,01:00,16:30-26:00,01:00,16:30-26:00,01:00,0507-1414-5689
황제카야,이자카야,4.36,경기 고양시 일산동구 중앙로1261번길 57 대명레이크프라자1차 3층 303호 노상가는술집,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1414-5689
리파인 일산,요리주점,4.36,경기 고양시 일산동구 중앙로1261번길 57 대명레이크프라자1차 3층 303호 노상가는술집,16:30-26:00,01:00,16:30-26:00,01:00,16:30-26:00,01:00,16:30-26:00,01:00,16:30-26:00,01:00,16:30-26:00,01:00,16:30-26:00,01:00,0507-1414-5689
구각 밤리단길 본점,요리주점,4.36,경기 고양시 일산동구 중앙로1261번길 57 대명레이크프라자1차 3층 303호 노상가는술집,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1414-5689
