shop_name,shop_type,shop_star_rating,shop_address,shop_time_info,shop_contact
반야관 밤리단길점,요리주점,정보 없음,경기 고양시 일산동구 대산로11번길 14-4 1층,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더'], ['토', '17:00 - 24:00', '23:00 라스트오더'], ['일', '17:00 - 23:00', '22:00 라스트오더'], ['월', '정기휴무 (매주 월요일)'], ['화', '17:00 - 24:00', '23:00 라스트오더'], ['수', '17:00 - 24:00', '23:00 라스트오더'], ['목', '17:00 - 24:00', '23:00 라스트오더'], ['금', '17:00 - 24:00', '23:00 라스트오더']]",0507-1320-6688
야키토리 도쿠리야,이자카야,4.61,경기 고양시 일산서구 일현로 38,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료'], ['토', '18:00 - 01:00'], ['일', '정기휴무 (매주 일요일)'], ['월', '18:00 - 01:00'], ['화', '18:00 - 01:00'], ['수', '18:00 - 01:00'], ['목', '18:00 - 01:00'], ['금', '18:00 - 01:00']]",0507-1487-8902
리파인 일산,요리주점,정보 없음,경기 고양시 일산동구 무궁화로 32-34 라페스타C 1층 126호,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더'], ['토', '17:00 - 02:00', '01:00 라스트오더'], ['일', '17:00 - 01:00', '00:00 라스트오더'], ['월', '17:00 - 01:00', '00:00 라스트오더'], ['화', '17:00 - 01:00', '00:00 라스트오더'], ['수', '17:00 - 01:00', '00:00 라스트오더'], ['목', '17:00 - 01:00', '00:00 라스트오더'], ['금', '17:00 - 02:00', '01:00 라스트오더'], ['- 공휴일 전날은 02:00까지 영업합니다.']]",0507-1432-3412
구각 밤리단길 본점,요리주점,4.8,경기 고양시 일산동구 일산로441번길 87-7 1층 구각,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['토', '17:00 - 24:00'], ['일', '17:00 - 24:00'], ['월', '17:00 - 24:00'], ['화', '17:00 - 24:00'], ['수', '정기휴무 (매주 수요일)'], ['목', '17:00 - 24:00'], ['금', '17:00 - 24:00']]",0507-1332-9377
운도,요리주점,정보 없음,경기 고양시 일산동구 백석로86번길 50 1층,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료'], ['매일', '17:00 - 01:00']]",0507-1362-5484
반야관 밤리단길점,요리주점,정보 없음,경기 고양시 일산동구 대산로11번길 14-4 1층,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더'], ['토', '17:00 - 24:00', '23:00 라스트오더'], ['일', '17:00 - 23:00', '22:00 라스트오더'], ['월', '정기휴무 (매주 월요일)'], ['화', '17:00 - 24:00', '23:00 라스트오더'], ['수', '17:00 - 24:00', '23:00 라스트오더'], ['목', '17:00 - 24:00', '23:00 라스트오더'], ['금', '17:00 - 24:00', '23:00 라스트오더']]",0507-1320-6688
코주방,요리주점,4.53,경기 고양시 일산동구 대산로11번길 5-20 1층,"[['영업 중', '22:30에 라스트오더', '22시 30분에 라스트오더'], ['토', '16:00 - 24:00', '22:30 라스트오더'], ['일', '16:00 - 24:00', '22:30 라스트오더'], ['월', '17:00 - 24:00', '22:30 라스트오더'], ['화', '17:00 - 24:00', '22:30 라스트오더'], ['수', '17:00 - 24:00', '22:30 라스트오더'], ['목', '17:00 - 24:00', '22:30 라스트오더'], ['금', '17:00 - 24:00', '22:30 라스트오더']]",0507-1434-5201
정발가옥 밤리단길본점,요리주점,4.53,경기 고양시 일산동구 대산로11번길 5-20 1층,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료', '펼쳐보기']]",0507-1362-8220
이자카야 이로,이자카야,4.77,경기 고양시 일산동구 대산로11번길 40-2,"[['영업 중', '00:00에 라스트오더', '0시 0분에 라스트오더'], ['토', '18:00 - 01:00', '00:00 라스트오더'], ['일(7/9)', '휴무'], ['월(7/10)', '휴무'], ['화', '18:00 - 01:00', '00:00 라스트오더'], ['수', '18:00 - 01:00', '00:00 라스트오더'], ['목', '18:00 - 01:00', '00:00 라스트오더'], ['금', '18:00 - 01:00', '00:00 라스트오더'], ['접기']]",0507-1325-7904
노상가는술집,요리주점,4.92,"경기 고양시 일산동구 무궁화로 37 노블리제빌딩 1층 101호, 이로","[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더', '펼쳐보기']]",0507-1414-5689
