name,type,star_rating,review_sum,address,time_info,contact
디엠,술집,정보 없음,400,서울 마포구 토정로3안길 18 지하1층 매장입니다,"[['영업 중', '01:30에 라스트오더', '1시 30분에 라스트오더'], ['토', '16:10 - 02:00', '01:30 라스트오더'], ['일', '16:10 - 01:00', '00:30 라스트오더'], ['월', '17:40 - 01:00', '00:30 라스트오더'], ['화', '17:40 - 01:00', '00:30 라스트오더'], ['수', '17:40 - 01:00', '00:30 라스트오더'], ['목', '17:40 - 01:00', '00:30 라스트오더'], ['금', '17:40 - 02:00', '01:30 라스트오더'], ['- 연중무휴입니다 혹시 가게문이 닫혀있다면 꼭 전화주세요!']]",0507-1329-6429
바람잔,요리주점,4.62,285,서울 마포구 월드컵로1길 40 바람잔,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['토', '18:00 - 24:00'], ['일', '18:00 - 24:00'], ['월', '18:00 - 24:00'], ['화', '18:00 - 24:00'], ['수', '18:00 - 24:00'], ['목', '18:00 - 24:00'], ['금', '18:00 - 24:00']]",0507-1397-0113
썬키친,요리주점,4.62,285,서울 마포구 양화로6길 50 2층,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더'], ['토', '12:00 - 24:00', '23:00 라스트오더'], ['일', '12:00 - 24:00', '23:00 라스트오더'], ['월', '정기휴무 (매주 월요일)'], ['화', '12:00 - 24:00', '23:00 라스트오더'], ['수', '12:00 - 24:00', '23:00 라스트오더'], ['목', '12:00 - 24:00', '23:00 라스트오더'], ['금', '12:00 - 24:00', '23:00 라스트오더']]",0507-1338-4681
디엠,술집,4.89,1206,서울 마포구 토정로3안길 18 지하1층 매장입니다,"[['영업 중', '01:30에 라스트오더', '1시 30분에 라스트오더'], ['토', '16:10 - 02:00', '01:30 라스트오더'], ['일', '16:10 - 01:00', '00:30 라스트오더'], ['월', '17:40 - 01:00', '00:30 라스트오더'], ['화', '17:40 - 01:00', '00:30 라스트오더'], ['수', '17:40 - 01:00', '00:30 라스트오더'], ['목', '17:40 - 01:00', '00:30 라스트오더'], ['금', '17:40 - 02:00', '01:30 라스트오더'], ['- 연중무휴입니다 혹시 가게문이 닫혀있다면 꼭 전화주세요!']]",0507-1329-6429
미나리,요리주점,정보 없음,366,서울 마포구 양화로6길 14 1층 코너점포,"[['영업 중', '01:20에 라스트오더', '1시 20분에 라스트오더'], ['토', '17:00 - 02:00', '01:20 라스트오더'], ['일', '17:00 - 12:30', '11:50 라스트오더'], ['월', '17:00 - 12:30', '11:50 라스트오더'], ['화', '17:00 - 12:30', '11:50 라스트오더'], ['수', '17:00 - 12:30', '11:50 라스트오더'], ['목', '17:00 - 12:30', '11:50 라스트오더'], ['금', '17:00 - 02:00', '01:20 라스트오더']]",010-9585-7805
호맥 합정점,"맥주,호프",4.44,0,서울 마포구 독막로5길 5 대웅빌딩 1층 호맥,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더'], ['토', '14:00 - 02:00', '01:00 라스트오더'], ['일', '14:00 - 01:30', '00:30 라스트오더'], ['월', '16:30 - 01:30', '00:30 라스트오더'], ['화', '16:30 - 01:30', '00:30 라스트오더'], ['수', '16:30 - 01:30', '00:30 라스트오더'], ['목', '16:30 - 01:30', '00:30 라스트오더'], ['금', '16:30 - 02:00', '01:00 라스트오더']]",02-333-7466
아소토,이자카야,4.44,0,서울 마포구 독막로2길 34 1층 아소토,"[['영업 중', '22:30에 라스트오더', '22시 30분에 라스트오더'], ['토', '17:00 - 24:00', '22:30 라스트오더'], ['일', '17:00 - 23:00', '21:30 라스트오더'], ['월', '정기휴무 (매주 월요일)'], ['화(7/18)', '휴무'], ['수', '18:00 - 24:00', '22:30 라스트오더'], ['목', '18:00 - 24:00', '22:30 라스트오더'], ['금', '18:00 - 24:00', '22:30 라스트오더'], [''], ['- 일요일은 라스트오더 21:50 입니다.']]",0507-1345-9622
이키,이자카야,4.56,514,서울 마포구 성지길 36-20 1층,"[['영업 중', '00:00에 라스트오더', '0시 0분에 라스트오더'], ['토', '17:00 - 01:00', '00:00 라스트오더'], ['일', '17:00 - 24:00', '23:00 라스트오더'], ['월', '18:00 - 01:00', '00:00 라스트오더'], ['화', '18:00 - 01:00', '00:00 라스트오더'], ['수', '18:00 - 01:00', '00:00 라스트오더'], ['목', '18:00 - 01:00', '00:00 라스트오더'], ['금', '18:00 - 01:00', '00:00 라스트오더']]",010-9915-5915
토끼다이닝,요리주점,정보 없음,135,서울 마포구 독막로5길 5 2층,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더'], ['토', '12:00 - 02:00', '01:00 라스트오더'], ['일', '12:00 - 24:00', '23:00 라스트오더'], ['월', '12:00 - 24:00', '23:00 라스트오더'], ['화', '12:00 - 24:00', '23:00 라스트오더'], ['수', '12:00 - 24:00', '23:00 라스트오더'], ['목', '12:00 - 24:00', '23:00 라스트오더'], ['금', '12:00 - 02:00', '01:00 라스트오더']]",0507-1375-2431
심야식당 오밤중,요리주점,4.89,367,서울 마포구 포은로2가길 6 1층,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더'], ['토', '17:00 - 02:00', '01:00 라스트오더'], ['일', '정기휴무 (매주 일요일)'], ['월', '17:00 - 01:00', '00:00 라스트오더'], ['화', '17:00 - 01:00', '00:00 라스트오더'], ['수', '17:00 - 01:00', '00:00 라스트오더'], ['목', '17:00 - 01:00', '00:00 라스트오더'], ['금', '17:00 - 02:00', '01:00 라스트오더'], ['07/24 휴무'], ['- 음식 라스트 오더 영업종료 한시간 전 까지 입니다.']]",0507-1412-8824
깊은숲,"맥주,호프",4.89,367,서울 마포구 독막로 27,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['토', '17:00 - 02:00'], ['일', '17:00 - 24:00'], ['월', '정기휴무 (매주 월요일)'], ['화', '18:00 - 01:00'], ['수', '18:00 - 01:00'], ['목', '18:00 - 01:00'], ['금', '18:00 - 02:00']]",0507-1410-6865
낮달,요리주점,4.73,661,서울 마포구 독막로5길 8 1층 낮달,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료', '펼쳐보기']]",0507-1312-0597
금강산호프,"맥주,호프",4.37,840,서울 마포구 성지길 18,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['토', '15:00 - 02:00'], ['일', '15:00 - 02:00'], ['월', '15:00 - 02:00'], ['화', '15:00 - 02:00'], ['수', '15:00 - 02:00'], ['목', '15:00 - 02:00'], ['금', '15:00 - 02:00'], ['매달 2번째 일요일 정기 휴무']]",02-334-8120
과일가게,술집,4.56,426,서울 마포구 동교로 40,"[['영업 중', '01:00에 영업 종료', '1시 0분에 영업 종료', '펼쳐보기']]",02-336-3859
