shop_name,shop_type,shop_star_rating,shop_address,shop_time_info,shop_contact
히게쯔라,이자카야,정보 없음,서울 마포구 양화로1길 42 1층,"[['영업 종료', '16:00에 영업 시작', '16시 0분에 영업 시작'], ['일', '16:00 - 24:00', '23:00 라스트오더'], ['월', '16:00 - 24:00', '23:00 라스트오더'], ['화', '16:00 - 24:00', '23:00 라스트오더'], ['수', '16:00 - 24:00', '23:00 라스트오더'], ['목', '16:00 - 24:00', '23:00 라스트오더'], ['금', '16:00 - 01:00', '00:00 라스트오더'], ['토', '16:00 - 01:00', '00:00 라스트오더']]",0507-1317-4883
브루브루,"맥주,호프",4.47,서울 마포구 월드컵로3길 50,"[['영업 종료', '15:00에 영업 시작', '15시 0분에 영업 시작'], ['일', '15:00 - 23:00'], ['월', '18:00 - 01:00'], ['화', '18:00 - 01:00'], ['수', '18:00 - 01:00'], ['목', '18:00 - 01:00'], ['금', '18:00 - 01:00'], ['토', '18:00 - 01:00']]",0507-1345-3359
썬키친,요리주점,4.47,서울 마포구 월드컵로3길 50,"[['영업 종료', '12:00에 영업 시작', '12시 0분에 영업 시작', '펼쳐보기']]",0507-1338-4681
디엠,술집,4.89,서울 마포구 양화로6길 50 2층,"[['영업 중', '01:30에 라스트오더', '1시 30분에 라스트오더', '펼쳐보기'], ['']]",0507-1329-6429
미나리,요리주점,정보 없음,서울 마포구 양화로6길 14 1층 코너점포,"[['영업 중', '01:20에 라스트오더', '1시 20분에 라스트오더'], ['토', '17:00 - 02:00', '01:20 라스트오더'], ['일', '17:00 - 12:30', '11:50 라스트오더'], ['월', '17:00 - 12:30', '11:50 라스트오더'], ['화', '17:00 - 12:30', '11:50 라스트오더'], ['수', '17:00 - 12:30', '11:50 라스트오더'], ['목', '17:00 - 12:30', '11:50 라스트오더'], ['금', '17:00 - 02:00', '01:20 라스트오더']]",010-9585-7805
아소토,이자카야,4.56,서울 마포구 독막로2길 34 1층 아소토,"[['영업 종료', '17:00에 영업 시작', '17시 0분에 영업 시작', '펼쳐보기'], [''], [''], ['휴무일', '07/18']]",0507-1345-9622
호맥 합정점,"맥주,호프",4.56,서울 마포구 독막로2길 34 1층 아소토,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더', '펼쳐보기']]",02-333-7466
심야식당 오밤중,요리주점,4.44,서울 마포구 독막로5길 5 대웅빌딩 1층 호맥,"[['영업 중', '01:00에 라스트오더', '1시 0분에 라스트오더', '펼쳐보기'], ['']]",0507-1412-8824
이키,이자카야,4.89,서울 마포구 포은로2가길 6 1층,"[['영업 종료', '17:00에 영업 시작', '17시 0분에 영업 시작', '펼쳐보기']]",010-9915-5915
깊은숲,"맥주,호프",4.73,서울 마포구 독막로 27,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료'], ['토', '17:00 - 02:00'], ['일', '17:00 - 24:00'], ['월', '정기휴무 (매주 월요일)'], ['화', '18:00 - 01:00'], ['수', '18:00 - 01:00'], ['목', '18:00 - 01:00'], ['금', '18:00 - 02:00']]",0507-1410-6865
낮달,요리주점,4.73,서울 마포구 독막로 27,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료', '펼쳐보기']]",0507-1312-0597
금강산호프,"맥주,호프",4.37,서울 마포구 독막로5길 8 1층 낮달,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료', '펼쳐보기'], ['']]",02-334-8120
시소,요리주점,4.56,서울 마포구 성지길 18,"[['영업 종료', '17:00에 영업 시작', '17시 0분에 영업 시작', '펼쳐보기']]",0507-1412-8744
카사블랑코,"맥주,호프",4.7,서울 마포구 독막로 43-1 3층 시소,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료', '펼쳐보기']]",0507-1484-9596
호랑이,요리주점,4.34,서울 마포구 양화로1길 29 1층,"[['영업 종료', '18:00에 영업 시작', '18시 0분에 영업 시작', '펼쳐보기']]",010-5567-1637
색다른한잔,"맥주,호프",4.16,서울 마포구 성지3길 23,"[['영업 중', '02:00에 영업 종료', '2시 0분에 영업 종료', '펼쳐보기']]",070-4222-4198
