shop_name,shop_type,shop_star_rating,shop_address,shop_time_info,shop_contact
토끼다이닝,요리주점,정보 없음,서울 마포구 독막로5길 5 2층,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더'], ['화', '12:00 - 24:00', '23:00 라스트오더'], ['수', '12:00 - 24:00', '23:00 라스트오더'], ['목', '12:00 - 24:00', '23:00 라스트오더'], ['금', '12:00 - 02:00', '01:00 라스트오더'], ['토', '12:00 - 02:00', '01:00 라스트오더'], ['일', '12:00 - 24:00', '23:00 라스트오더'], ['월', '12:00 - 24:00', '23:00 라스트오더']]",0507-1375-2431
아톰술집,이자카야,정보 없음,서울 마포구 와우산로18길 6 2층 아톰술집,"[['영업 중', '04:15에 라스트오더', '4시 15분에 라스트오더'], ['화', '17:00 - 05:00', '04:15 라스트오더'], ['수', '17:00 - 05:00', '04:15 라스트오더'], ['목', '17:00 - 05:00', '04:15 라스트오더'], ['금', '17:00 - 05:00', '04:15 라스트오더'], ['토', '17:00 - 05:00', '04:15 라스트오더'], ['일', '17:00 - 05:00', '04:15 라스트오더'], ['월', '17:00 - 05:00', '04:15 라스트오더'], ['- 휴무일없음으로 변경되었습니다']]",0507-1466-1718
배터리88 홍대점,요리주점,4.4,서울 마포구 와우산로19길 6 1층,"[['영업 중', '05:00에 영업 종료', '5시 0분에 영업 종료'], ['매일', '17:00 - 05:00']]",0507-1487-0883
발리 슈퍼스토어,"맥주,호프",4.4,서울 마포구 와우산로19길 6 1층,"[['영업 중', '05:00에 영업 종료', '5시 0분에 영업 종료', '펼쳐보기']]",0507-1487-0883
서교주담 합정,요리주점,4.75,서울 마포구 어울마당로5길 46 1층 서교주담 합정,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료'], ['화', '17:00 - 24:00'], ['수', '17:00 - 24:00'], ['목', '17:00 - 24:00'], ['금', '17:00 - 02:00'], ['토', '15:00 - 02:00'], ['일', '15:00 - 24:00'], ['월', '17:00 - 24:00']]",010-5656-9309
배터리88 2호점 홍대입구역점,요리주점,4.75,서울 마포구 어울마당로5길 46 1층 서교주담 합정,"[['영업 중', '24:00에 영업 종료', '0시 0분에 영업 종료', '펼쳐보기']]",010-5656-9309
붉은낙타,요리주점,정보 없음,서울 마포구 잔다리로 20-11 1층 붉은낙타,"[['영업 중', '00:00에 라스트오더', '0시 0분에 라스트오더'], ['화', '17:00 - 01:00', '00:00 라스트오더'], ['수', '17:00 - 01:00', '00:00 라스트오더'], ['목', '17:00 - 01:00', '00:00 라스트오더'], ['금', '17:00 - 03:00', '02:00 라스트오더'], ['토', '17:00 - 03:00', '02:00 라스트오더'], ['일', '17:00 - 01:00', '00:00 라스트오더'], ['월', '17:00 - 01:00', '00:00 라스트오더'], ['- 에어컨 공사로 인해 이틀 쉬어갑니다 ㅠㅠ']]",070-4833-5965
썬키친,요리주점,4.89,서울 마포구 양화로6길 50 2층,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더'], ['화', '12:00 - 24:00', '23:00 라스트오더'], ['수', '12:00 - 24:00', '23:00 라스트오더'], ['목', '12:00 - 24:00', '23:00 라스트오더'], ['금', '12:00 - 24:00', '23:00 라스트오더'], ['토', '12:00 - 24:00', '23:00 라스트오더'], ['일', '12:00 - 24:00', '23:00 라스트오더'], ['월', '정기휴무 (매주 월요일)']]",0507-1338-4681
맥주왕명주,"맥주,호프",4.89,서울 마포구 양화로6길 50 2층,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더', '펼쳐보기']]",0507-1338-4681
산울림1992,요리주점,4.45,서울 마포구 서강로9길 60 산울림1992,"[['영업 중', '23:00에 라스트오더', '23시 0분에 라스트오더'], ['화', '17:00 - 24:00', '23:00 라스트오더'], ['수', '17:00 - 24:00', '23:00 라스트오더'], ['목', '17:00 - 24:00', '23:00 라스트오더'], ['금', '17:00 - 01:00', '00:00 라스트오더'], ['토', '17:00 - 01:00', '00:00 라스트오더'], ['일', '15:00 - 23:00', '22:00 라스트오더'], ['월', '정기휴무 (매주 월요일)'], ['나혼자산다 450회, 22.06.17.', '2022년 6월 17일', ' 비빔파스타/조개탕/육전', '펼쳐보기'], [''], ['']]",0507-1417-0352
